      Dingdaohengite-(Ce)
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from single crystal data of R150046
      Li G, Yang G, Ma Z, Shi N, Xiong M, Sheng G, Fan H
      Kuangwu Xuebao 25 (2005) 313-320
      The crystal structure of a new mineral dingdaohengite-(Ce)
      Locality: Bayun Obo, Inner Mongolia, China
      _database_code_amcsd 0014198

                59.71          1.44        1.5486   -6   0   6
                60.22          3.86        1.5368    0   2   6
                60.71          2.27        1.5254   -1   1   7
                60.78          4.70        1.5240    3   1   6
                61.50          8.42        1.5079   -3   1   7
                61.68          1.57        1.5038    8   0   2
                62.57          2.94        1.4845   -4   2   6
                62.74          1.05        1.4810    4   0   6
                64.13          2.50        1.4522    4   2   5
                64.20          1.80        1.4508   -8   0   5
                64.35          2.51        1.4477    2   2   6
                64.84         12.45        1.4379    0   4   0
                65.24          3.42        1.4301    3   3   4
                65.60          1.00        1.4231    6   0   5
                65.72          4.59        1.4208   -3   3   5
                66.12          1.47        1.4132    1   3   5
                66.26          1.78        1.4106   -8   2   3
                66.42          1.33        1.4076    8   0   3
                66.55          2.02        1.4051   -7   1   6
                67.36          2.29        1.3902    8   2   1
                67.39          3.81        1.3896    7   1   4
                67.82          2.06        1.3819    6   2   4
                68.48          1.52        1.3702    0   2   7
                68.84          2.15        1.3639   -9   1   4
                68.85          3.69        1.3636    0   0   8
                68.86          5.12        1.3635   -6   2   6
                69.83          3.63        1.3469   -7   3   2
                70.00          3.12        1.3441    7   3   0
                70.69          3.20        1.3326    8   2   2
                72.53          2.47        1.3034   -4   4   2
                72.92          2.90        1.2972    4   4   1
                73.05          2.49        1.2953   -8   2   5
                73.43          2.06        1.2895    5   3   4
                74.37          5.12        1.2755    6   2   5
                74.48          2.62        1.2740   -7   3   4
                74.62          6.02        1.2719    0   4   4
                74.78          1.36        1.2696   -4   4   3
                74.96          2.00        1.2669    7   3   2
                75.43          1.05        1.2602    4   4   2
                75.58          3.73        1.2581   -6   2   7
                77.46          2.76        1.2321    0   2   8
                78.42          2.00        1.2195    3   3   6
                78.81          3.06        1.2144  -10   2   1
                79.03          2.42        1.2116    3   1   8
                79.06          3.68        1.2112   -3   3   7
                79.08          1.10        1.2109    4   4   3
                79.19          1.31        1.2096   -6   4   1
                79.87          3.08        1.2010   -3   1   9
                80.08          2.37        1.1984    4   2   7
                80.50          1.22        1.1932  -11   1   2
                80.70          2.18        1.1906  -11   1   1
                80.74          2.54        1.1902   -7   1   8
                81.31          1.45        1.1833    6   4   1
                81.45          1.11        1.1816  -11   1   3
                81.70          1.08        1.1786   -6   4   3
                81.84          1.47        1.1770    7   1   6
                84.44          1.72        1.1473    7   3   4
                84.58          1.06        1.1457   11   1   1
                85.63          2.44        1.1343  -10   2   5
                85.78          1.03        1.1327   -9   3   4
                85.83          2.32        1.1322   10   2   2
                86.72          1.79        1.1228    8   0   6
                87.64          1.02        1.1134  -10   0   7
                88.02          1.03        1.1096    6   4   3
                88.31          2.63        1.1066   -4   4   6
                88.79          1.33        1.1019    3   5   1
                88.79          1.52        1.1019   -6   4   5
                88.94          1.40        1.1005   -3   5   2
                89.21          1.46        1.0979   -4   0  10
                89.28          1.11        1.0971   -7   1   9
                89.70          1.95        1.0931    4   4   5
                89.85          1.13        1.0916   -8  -4   1
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
