      Muscovite-2M1
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern R050198
      Brigatti M F, Frigieri P, Poppi L
      American Mineralogist 83 (1998) 775-785
      Crystal chemistry of Mg-, Fe-bearing muscovites-2M1
      Sample RA1 from a pegmatite on Antarctica

      CELL PARAMETERS:   5.213241   9.044142   19.94462   90.00000   95.75243   90.00000
      SPACE GROUP: C2/c
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                77.05          1.53        1.2373   -1   7   3
                77.66          2.82        1.2291    3   5   2
                77.87          3.01        1.2264    1   7   3
                78.09          4.15        1.2234   -4   2   5
                78.73          3.03        1.2150    2   2  13
                78.53          1.15        1.2177   -3   5   5
                79.44          2.33        1.2060   -3   3  11
                79.23          1.95        1.2086    1   7   4
                79.49          1.01        1.2054   -4   2   6
                79.59          1.06        1.2040    4   2   3
                79.89          1.35        1.2003    0   6  10
                80.06          1.64        1.1982   -3   5   6
                80.49          1.64        1.1928    3   3   9
                81.02          1.38        1.1863   -2   2  15
                80.58          3.52        1.1917    3   5   4
                80.95          1.55        1.1873    1   7   5
                81.55          2.16        1.1799    3   1  11
                81.23          1.69        1.1839   -4   2   7
                81.36          1.38        1.1823    4   2   4
                83.53          2.27        1.1570   -1   7   7
                86.29          2.71        1.1269   -2   4  14
                87.40          7.76        1.1154   -2   6  10
                88.04          1.35        1.1089   -1   5  14
                88.47          4.15        1.1046    4   0   8
                88.47          4.15        1.1046    4   0   8
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
