      Davidite-(La)
      Diffraction data computed using the structure from the paper listed below,
      along with the cell parameters refined from single crystal data of R070698
      Gatehouse B M, Grey I E, Kelly P R
      American Mineralogist 64 (1979) 1010-1017
      The crystal structure of davidite

      CELL PARAMETERS:   9.2220  9.2220  9.2220   68.488   68.488   68.488
      SPACE GROUP: R-3       

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            La     0.00000   0.00000   0.00000     0.540     1.170
            Ca     0.00000   0.00000   0.00000     0.200     1.170
            Sr     0.00000   0.00000   0.00000     0.090     1.170
            La     0.50000   0.50000   0.50000     0.370     0.530
            U      0.50000   0.50000   0.50000     0.330     0.530
            Y      0.50000   0.50000   0.50000     0.300     0.530
            Fe     0.30900   0.30900   0.30900     0.790     0.470
            Mg     0.30900   0.30900   0.30900     0.120     0.470
            Fe     0.34740   0.12690   0.01840     0.762     0.510
            Ti     0.34740   0.12690   0.01840     0.112     0.510
            Cr     0.34740   0.12690   0.01840     0.035     0.510
            Ti     0.30860   0.72180   0.14480     1.000     0.340
            Ti     0.47490   0.07750   0.64440     1.000     0.300
            O      0.29990   0.63000   0.37650     1.000     0.540
            O      0.14860   0.23470   0.93910     1.000     0.490
            O      0.91920   0.45740   0.30250     1.000     0.430
            O      0.14460   0.51370   0.98970     1.000     0.550
            O      0.38910   0.48690   0.13450     1.000     0.520
            O      0.71310   0.24040   0.06880     1.000     0.480
            O      0.21340   0.21340   0.21340     1.000     0.590

            X-RAY WAVELENGTH:     1.541838
            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  7 +/-  7 +/-  7
            MAX. ABS. INTENSITY / VOLUME**2:      20.30605661    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                10.70          4.65        8.2650    1   0   0
                12.63          2.15        7.0099    1   1   1
                12.96          7.01        6.8323    1   1   0
                17.09         11.23        5.1894    0  -1   1
                21.30         15.87        4.1709    2   0   1
                21.30          9.12        4.1709    2   1   0
                21.50         13.17        4.1325    2   0   0
                23.35          1.96        3.8095    2   2   1
                25.41          3.44        3.5050    2   2   2
                26.08         74.41        3.4161    2   2   0
                26.58          7.91        3.3538    0  -1   2
                26.58          1.35        3.3538   -1   0   2
                27.59         11.44        3.2327    1  -1   2
                27.59          1.11        3.2327    2  -1   1
                29.08         61.59        3.0709    3   1   1
                29.82         36.77        2.9961    1  -2   1
                30.78         56.67        2.9045    3   1   2
                30.78         43.33        2.9045    3   2   1
                31.35         58.63        2.8534    3   0   1
                31.35          3.00        2.8534    3   1   0
                31.40          1.92        2.8493    3   2   2
                32.50          6.58        2.7550    2  -1   2
                32.50          6.81        2.7550    3   0   0
                33.92          2.72        2.6428    3   0   2
                33.92         33.71        2.6428    3   2   0
                34.57         11.21        2.5947    0  -2   2
                35.96          1.11        2.4976    3   3   1
                36.29         44.89        2.4756    2  -2   1
                36.94          3.30        2.4333    3  -1   1
