      Uvarovite
      Diffraction data computed using the structure from the paper listed below, 
      along with the cell parameters refined from single crystal data of R060477
      Wildner M, Andrut M
      American Mineralogist 86 (2001) 1231-1251
      The crystal chemistry of birefringent natural uvarovites: Part II.
      Single-crystal X-ray structures
      Sample: Ska-1
      _database_code_amcsd 0002725

      CELL PARAMETERS:  11.9204 11.9204 11.9204   90.000   90.000   90.000
      SPACE GROUP: I-1       

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
                57.89          2.47        1.5929   -4  -2   6
                57.89          2.47        1.5929   -4   2   6
                57.89          2.47        1.5929    2  -4   6
                57.89          2.47        1.5929   -2  -4   6
                62.31          3.72        1.4900    8   0   0
                62.31          3.72        1.4900    0   0   8
                62.31          3.72        1.4900    0   8   0
                70.68          1.09        1.3327    4   8   0
                70.68          1.09        1.3327    4   0   8
                70.68          1.09        1.3327    8   4   0
                70.68          1.08        1.3327    0   4   8
                70.68          1.10        1.3327    0   8   4
                70.68          1.09        1.3327    8   0   4
                70.68          1.09        1.3327   -8   0   4
                70.68          1.10        1.3327   -8   4   0
                70.68          1.09        1.3327    0  -8   4
                70.68          1.10        1.3327    0  -4   8
                70.68          1.09        1.3327   -4   8   0
                70.68          1.10        1.3327   -4   0   8
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
