angle,intensity
5.0,14.0
5.01,13.0
5.02,13.0
5.03,16.0
5.04,12.0
5.05,13.0
5.06,14.0
5.07,11.0
5.08,15.0
5.09,10.0
5.1,8.0
5.11,15.0
5.12,12.0
5.13,6.0
5.14,10.0
5.15,14.0
5.16,8.0
5.17,7.0
5.18,3.0
5.19,17.0
5.2,9.0
5.21,12.0
5.22,17.0
5.23,13.0
5.24,13.0
5.25,11.0
5.26,11.0
5.27,9.0
5.28,9.0
5.29,16.0
5.3,5.0
5.31,8.0
5.32,13.0
5.33,10.0
5.34,14.0
5.35,11.0
5.36,8.0
5.37,13.0
5.38,7.0
5.39,7.0
5.4,5.0
5.41,8.0
5.42,15.0
5.43,10.0
5.44,13.0
5.45,5.0
5.46,11.0
5.47,8.0
5.48,4.0
5.49,9.0
5.5,7.0
5.51,15.0
5.52,5.0
5.53,12.0
5.54,9.0
5.55,9.0
5.56,12.0
5.57,12.0
5.58,10.0
5.59,10.0
5.6,6.0
5.61,7.0
5.62,11.0
5.63,9.0
5.64,16.0
5.65,7.0
5.66,15.0
5.67,8.0
5.68,13.0
5.69,13.0
5.7,5.0
5.71,10.0
5.72,10.0
5.73,10.0
5.74,8.0
5.75,9.0
5.76,8.0
5.77,12.0
5.78,7.0
5.79,7.0
5.8,6.0
5.81,9.0
5.82,10.0
5.83,8.0
5.84,9.0
5.85,5.0
5.86,13.0
5.87,13.0
5.88,11.0
5.89,12.0
5.9,5.0
5.91,16.0
5.92,8.0
5.93,9.0
5.94,14.0
5.95,10.0
5.96,11.0
5.97,7.0
5.98,11.0
5.99,13.0
6.0,7.0
6.01,13.0
6.02,14.0
6.03,11.0
6.04,12.0
6.05,13.0
6.06,8.0
6.07,14.0
6.08,9.0
6.09,9.0
6.1,7.0
6.11,19.0
6.12,11.0
6.13,15.0
6.14,9.0
6.15,14.0
6.16,15.0
6.17,11.0
6.18,13.0
6.19,19.0
6.2,22.0
6.21,15.0
6.22,11.0
6.23,13.0
6.24,10.0
6.25,18.0
6.26,21.0
6.27,20.0
6.28,18.0
6.29,17.0
6.3,22.0
6.31,21.0
6.32,27.0
6.33,27.0
6.34,12.0
6.35,16.0
6.36,15.0
6.37,17.0
6.38,14.0
6.39,21.0
6.4,20.0
6.41,22.0
6.42,13.0
6.43,17.0
6.44,11.0
6.45,14.0
6.46,9.0
6.47,21.0
6.48,12.0
6.49,17.0
6.5,17.0
6.51,24.0
6.52,16.0
6.53,15.0
6.54,20.0
6.55,20.0
6.56,18.0
6.57,12.0
6.58,9.0
6.59,18.0
6.6,14.0
6.61,16.0
6.62,15.0
6.63,12.0
6.64,21.0
6.65,15.0
6.66,21.0
6.67,14.0
6.68,11.0
6.69,15.0
6.7,17.0
6.71,4.0
6.72,18.0
6.73,22.0
6.74,24.0
6.75,20.0
6.76,9.0
6.77,13.0
6.78,17.0
6.79,14.0
6.8,18.0
6.81,14.0
6.82,10.0
6.83,8.0
6.84,14.0
6.85,16.0
6.86,17.0
6.87,14.0
6.88,15.0
6.89,13.0
6.9,10.0
6.91,10.0
6.92,12.0
6.93,12.0
6.94,11.0
6.95,12.0
6.96,12.0
6.97,8.0
6.98,6.0
6.99,8.0
7.0,11.0
7.01,6.0
7.02,20.0
7.03,13.0
7.04,15.0
7.05,16.0
7.06,10.0
7.07,12.0
7.08,12.0
7.09,7.0
7.1,6.0
7.11,6.0
7.12,11.0
7.13,10.0
7.14,9.0
7.15,11.0
7.16,7.0
7.17,10.0
7.18,5.0
7.19,12.0
7.2,11.0
7.21,14.0
7.22,10.0
7.23,13.0
7.24,4.0
7.25,11.0
7.26,12.0
7.27,6.0
7.28,10.0
7.29,8.0
7.3,6.0
7.31,9.0
7.32,5.0
7.33,10.0
7.34,5.0
7.35,13.0
7.36,9.0
7.37,12.0
7.38,3.0
7.39,4.0
7.4,6.0
7.41,9.0
7.42,10.0
7.43,13.0
7.44,7.0
7.45,4.0
