      Ferberite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R040044
      Ulku D
      Zeitschrift fur Kristallographie 124 (1967) 192-219
      Untersuchungen zur kristallstruktur und magnetischen struktur
      des ferberits FeWO4

      CELL PARAMETERS:   4.730000   5.703000   4.952000   90.00000   90.00000   90.00000
      SPACE GROUP: P2/c
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                15.58          7.32        5.7105    0   1   0
                18.79         28.39        4.7382    1   0   0
                23.80         28.00        3.7471    0   1   1
                24.47         23.34        3.6464    1   1   0
                30.47         50.00        2.9388    1   1   1
                30.46         50.00        2.9394   -1   1   1
                31.38         10.12        2.8552    0   2   0
                36.23         15.43        2.4828    0   0   2
                36.34         16.30        2.4752    0   2   1
                36.80          4.32        2.4455    1   2   0
                38.03          9.72        2.3691    2   0   0
                41.09          7.31        2.1989    1   0   2
                41.08          1.19        2.1994   -1   0   2
                41.19          9.83        2.1940   -1   2   1
                41.30          1.27        2.1882    2   1   0
                44.17          3.69        2.0520    1   1   2
                44.16          4.26        2.0524   -1   1   2
                45.32          5.02        2.0026   -2   1   1
                45.33          3.81        2.0022    2   1   1
                47.82          2.04        1.9035    0   3   0
                48.63          7.04        1.8735    0   2   2
                50.06          6.57        1.8232    2   2   0
                51.79         13.67        1.7663    1   3   0
                52.55          1.96        1.7424   -1   2   2
                52.56          1.58        1.7422    1   2   2
                53.50          7.96        1.7137    2   0   2
                53.48          7.16        1.7142   -2   0   2
                53.57         10.91        1.7116   -2   2   1
                53.58          9.25        1.7114    2   2   1
                58.04          2.45        1.5898    0   1   3
                58.46          1.19        1.5794    3   0   0
                60.88          1.22        1.5222    3   1   0
                61.39          2.26        1.5106    0   3   2
                61.56          7.71        1.5071    1   1   3
                61.54          6.09        1.5073   -1   1   3
                62.62          2.56        1.4839    2   3   0
                63.31          2.72        1.4694    2   2   2
                63.30          2.87        1.4697   -2   2   2
                63.98          6.29        1.4555   -3   1   1
                64.00          6.03        1.4553    3   1   1
                64.79          7.13        1.4393   -1   3   2
                64.80          6.01        1.4392    1   3   2
                65.16          6.31        1.4320    0   2   3
                68.39          5.85        1.3720    0   4   1
                68.45          1.26        1.3708   -1   2   3
                68.46          1.09        1.3707    1   2   3
                70.69          1.53        1.3328   -3   0   2
                70.78          1.85        1.3313    3   2   1
                71.46          1.42        1.3203   -2   1   3
                71.48          1.49        1.3199    2   1   3
                71.61          1.48        1.3179   -1   4   1
                71.61          1.94        1.3179    1   4   1
                72.91          1.15        1.2976    3   1   2
                74.49          1.39        1.2738   -2   3   2
                74.51          1.54        1.2736    2   3   2
                76.78          1.74        1.2414    0   0   4
                77.97          1.67        1.2254    2   2   3
                77.95          1.53        1.2256   -2   2   3
                78.73          3.55        1.2155    3   3   0
                80.97          3.27        1.1873   -2   4   1
                80.98          3.50        1.1873    2   4   1
                81.20          2.38        1.1845    4   0   0
                85.24          1.27        1.1384    0   2   4
                86.09          1.15        1.1294    4   1   1
                86.93          2.57        1.1206   -3   1   3
                86.96          2.13        1.1203    3   1   3
                87.94          1.78        1.1103    1   5   0
                89.00          1.84        1.0997   -2   0   4
                89.03          1.63        1.0995    2   0   4
                89.58          1.10        1.0941    4   2   0
                89.58          1.10        1.0941    4   2   0
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
