      Clintonite-1M
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R070196
      Joswig W, Amthauer G, Takeuchi Y
      American Mineralogist 71 (1986) 1194-1197
      Neutron-diffraction and Mossbauer spectroscopic study of clintonite
      (xanthophyllite)

      CELL PARAMETERS:   5.1840  8.9700  9.7600   90.000  100.150   90.000
      SPACE GROUP: C2/m      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Ca     0.50000   0.50000   0.00000     1.000     0.642
            Mg     0.00000   0.50000   0.50000     0.730     0.374
            Al     0.00000   0.50000   0.50000     0.220     0.374
            Fe     0.00000   0.50000   0.50000     0.050     0.374
            Mg     0.50000   0.32982   0.50000     0.770     0.439
            Al     0.50000   0.32982   0.50000     0.230     0.439
            Ti     0.50000   0.32982   0.50000     0.003     0.439
            Si     0.57049   0.16705   0.20976     0.300     0.444
            Al     0.57049   0.16705   0.20976     0.673     0.444
            Fe     0.57049   0.16705   0.20976     0.027     0.444
            O      0.42771   0.00000   0.15161     1.000     0.893
            O      0.86158   0.18853   0.15029     1.000     0.881
            O      0.63088   0.16856   0.38782     1.000     0.754
            O      0.62827   0.50000   0.39774     1.000     0.810
            H      0.59660   0.50000   0.30010     1.000     3.244

            X-RAY WAVELENGTH:     1.541838
            BOUNDS ON TWO THETA:    0.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  4 +/-  8 +/-  8
            MAX. ABS. INTENSITY / VOLUME**2:      6.736474916    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                 9.21         32.27        9.6073    0   0   1
                19.80          5.25        4.4850    0   2   0
                20.02          6.10        4.4354    1   1   0
                21.87          2.96        4.0640    0   2   1
                23.34         18.26        3.8109    1   1   1
                25.16         35.35        3.5402   -1   1   2
                27.20         50.40        3.2782    0   2   2
                27.86         66.89        3.2024    0   0   3
                29.43         48.78        3.0352    1   1   2
                31.86         40.20        2.8086   -1   1   3
                34.41         22.62        2.6062    0   2   3
                34.75          5.75        2.5814   -2   0   1
                34.78         11.55        2.5798    1   3   0
                35.17         50.16        2.5514    2   0   0
                35.21        100.00        2.5490   -1   3   1
                36.86          7.97        2.4383   -2   0   2
                36.87         16.38        2.4377    1   3   1
                37.06         11.95        2.4260    1   1   3
                38.05          7.78        2.3647    2   0   1
                38.10         14.77        2.3622   -1   3   2
                39.85          3.25        2.2621   -1   1   4
                40.68          1.88        2.2177    2   2   0
                41.17         18.24        2.1928    1   3   2
                41.17          9.15        2.1927   -2   0   3
                41.34          2.17        2.1838    0   4   1
                42.18          5.65        2.1422   -2   2   2
                42.70          1.06        2.1173    0   2   4
                42.97         23.78        2.1049    2   0   2
                43.02         47.11        2.1026   -1   3   3
                43.25          7.75        2.0918    2   2   1
                44.59          9.70        2.0320    0   4   2
                46.08          7.61        1.9699   -2   2   3
                47.17         10.80        1.9269    1   3   3
                47.18          5.26        1.9265   -2   0   4
                47.31         12.27        1.9215    0   0   5
                47.73          4.48        1.9055    2   2   2
                49.44          3.51        1.8435    2   0   3
                49.49          7.13        1.8416   -1   3   4
                49.63          1.58        1.8369    0   4   3
                54.47          6.98        1.6846    1   3   4
                54.49          3.52        1.6841   -2   0   5
                54.96          1.11        1.6707   -3   1   2
                55.69          3.60        1.6504    1   5   1
                56.56          5.08        1.6272    2   4   1
                56.59          1.64        1.6263   -1   5   2
                57.11         13.60        1.6127    2   0   4
                57.17         26.92        1.6113   -1   3   5
                57.56          5.04        1.6012    0   0   6
                57.60          2.36        1.6003    3   1   1
                57.63          8.31        1.5995   -3   1   3
                58.91          7.66        1.5678    1   5   2
                58.91          2.69        1.5678   -2   4   3
                60.31          6.19        1.5347    2   4   2
                60.35          2.38        1.5338   -1   5   3
                61.86          1.96        1.4999    3   1   2
                61.91          2.65        1.4988   -3   1   4
                62.03         59.85        1.4961   -3   3   1
                62.08         29.78        1.4950    0   6   0
                62.82         40.48        1.4791    1   3   5
                62.85         20.33        1.4786   -2   0   6
                63.67          1.08        1.4615    1   5   3
                63.68          1.32        1.4613   -2   4   4
                68.35          1.28        1.3725    0   0   7
                68.38          2.28        1.3718   -1   1   7
                69.30          5.69        1.3559    3   3   2
                69.35          5.99        1.3551   -3   3   4
                69.37          5.80        1.3547    0   6   3
                71.95          2.45        1.3124    0   2   7
                72.15          8.58        1.3092    1   3   6
                72.18          4.21        1.3087   -2   0   7
                73.15          1.50        1.2937   -2   6   1
                73.35          4.77        1.2907   -4   0   2
                73.41          9.39        1.2899    2   6   0
                74.73          1.22        1.2703    3   3   3
                74.78          1.16        1.2695   -3   3   5
                74.80          1.18        1.2692    0   6   4
                75.15          1.22        1.2642   -4   0   3
                75.19          2.56        1.2636    2   6   1
                75.60          2.05        1.2578    1   1   7
                75.70          1.75        1.2563   -2   2   7
                77.14          1.54        1.2365    4   0   1
                77.23          3.03        1.2352   -2   6   3
                77.85          1.15        1.2270    4   2   0
                78.44          1.39        1.2192   -4   0   4
                78.47          2.80        1.2189    2   6   2
                78.69          1.81        1.2159   -1   7   2
                78.92          2.66        1.2130    2   2   6
                79.41          1.09        1.2067   -1   1   8
                79.58          3.19        1.2046   -3   5   3
                79.87          1.61        1.2009    0   0   8
                80.59          3.40        1.1920    4   2   1
                80.68          1.07        1.1909    1   7   2
                81.49          1.12        1.1811   -2   6   4
                81.51          3.21        1.1809    3   3   4
                81.58          3.20        1.1801   -3   3   6
                81.59          3.23        1.1799    0   6   5
                81.88          1.39        1.1765   -4   2   4
                81.94          3.38        1.1758   -1   7   3
                82.38          2.46        1.1706    0   4   7
                83.20          1.10        1.1612    2   6   3
                83.28          1.39        1.1603    3   5   2
                83.32          1.89        1.1598   -3   5   4
                84.90          1.11        1.1422    1   7   3
                85.94          2.19        1.1310   -2   2   8
                89.15          1.27        1.0985    2   4   6
                89.21          1.19        1.0979   -1   5   7
                89.36          7.18        1.0964    2   6   4
                89.36          3.58        1.0964   -4   0   6
                89.56          1.26        1.0944    2   2   7
                89.65          1.77        1.0936    3   3   5
                89.73          1.89        1.0928   -3   3   7
                89.74          1.82        1.0927    0   6   6
                89.83          1.19        1.0919    0   8   2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
