      Beudantite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R070502 
      Szymanski J T
      The Canadian Mineralogist 26 (1988) 923-932
      The crystal structure of beudantite, Pb(Fe,Al)3((As,S)O4)2(OH)6

      CELL PARAMETERS:   7.3100  7.3100 17.0500   90.000   90.000  120.000
      SPACE GROUP: R-3m      

            X-RAY WAVELENGTH:     1.541838
            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  5 +/-  5 +/- 15

               2-THETA      D-SPACING    H   K   L
                 5.18       17.0500      0   0   1
                10.38        8.5250      0   0   2
                13.99        6.3306      1   0   0
                14.93        5.9348      0   1   1
                14.93        5.9348      1   0   1
                15.59        5.6833      0   0   3
                17.45        5.0825      0   1   2
                17.45        5.0825      1   0   2
                20.84        4.2625      0   0   4
                21.01        4.2291      1   0   3
                21.01        4.2291      0   1   3
                24.35        3.6550      1   1   0
                24.91        3.5738      1   1   1
                25.19        3.5357      1   0   4
                25.19        3.5357      0   1   4
                26.13        3.4100      0   0   5
                26.53        3.3593      1   1   2
                28.19        3.1653      2   0   0
                28.68        3.1121      0   2   1
                28.68        3.1121      2   0   1
                29.05        3.0742      1   1   3
                29.76        3.0022      1   0   5
                29.76        3.0022      0   1   5
                30.12        2.9674      0   2   2
                30.12        2.9674      2   0   2
                31.48        2.8417      0   0   6
                32.26        2.7746      1   1   4
                32.37        2.7654      0   2   3
                32.37        2.7654      2   0   3
                34.60        2.5925      1   0   6
                34.60        2.5925      0   1   6
                35.32        2.5413      0   2   4
                35.32        2.5413      2   0   4
                36.02        2.4934      1   1   5
                36.90        2.4357      0   0   7
                37.59        2.3928      2   1   0
                37.97        2.3695      1   2   1
                37.97        2.3695      2   1   1
                38.82        2.3199      0   2   5
                38.82        2.3199      2   0   5
                39.10        2.3037      1   2   2
                39.10        2.3037      2   1   2
                39.65        2.2733      1   0   7
                39.65        2.2733      0   1   7
                40.20        2.2434      1   1   6
                40.92        2.2053      1   2   3
                40.92        2.2053      2   1   3
                42.41        2.1312      0   0   8
                42.76        2.1146      0   2   6
                42.76        2.1146      2   0   6
                42.86        2.1102      3   0   0
                43.20        2.0942      0   3   1
