      Gadolinite-(Y)
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R120138
      Camara F, Oberti R, Ottolini L, Ventura G D, Bellatreccia F
      American Mineralogist 93 (2008) 996-1004
      The crystal chemistry of Li in gadolinite
      Locality: Vico lake, Latium, Italy
      _database_code_amcsd 0004599

      CELL PARAMETERS:   4.7690  7.6330  9.9420   90.000   90.200   90.000
      SPACE GROUP: P2_1/c    

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Ca     0.99580   0.10680   0.33090     0.400     0.711
            Y      0.99580   0.10680   0.33090     0.190     0.711
            La     0.99580   0.10680   0.33090     0.030     0.711
            Ce     0.99580   0.10680   0.33090     0.120     0.711
            Pr     0.99580   0.10680   0.33090     0.020     0.711
            Nd     0.99580   0.10680   0.33090     0.080     0.711
            Sm     0.99580   0.10680   0.33090     0.020     0.711
            Eu     0.99580   0.10680   0.33090     1.000     0.711
            Gd     0.99580   0.10680   0.33090     0.020     0.711
            Dy     0.99580   0.10680   0.33090     0.020     0.711
            Er     0.99580   0.10680   0.33090     0.010     0.711
            Yb     0.99580   0.10680   0.33090     0.010     0.711
            Th     0.99580   0.10680   0.33090     0.070     0.711
            U      0.99580   0.10680   0.33090     0.010     0.711
            Fe     0.00000   0.00000   0.00000     0.500     0.553
            Li     0.00000   0.00000   0.00000     0.230     0.553
            Fe     0.00000   0.00000   0.00000     0.210     0.553
            Mn     0.00000   0.00000   0.00000     0.030     0.553
            Mg     0.00000   0.00000   0.00000     0.020     0.553
            Si     0.54620   0.41060   0.33840     0.500     0.474
            Be     0.54620   0.41060   0.33840     0.270     0.474
            B      0.54620   0.41060   0.33840     0.200     0.474
            Li     0.54620   0.41060   0.33840     0.030     0.474
            Si     0.47650   0.27040   0.08130     0.500     0.474
            Be     0.47650   0.27040   0.08130     0.270     0.474
            B      0.47650   0.27040   0.08130     0.200     0.474
            Li     0.47650   0.27040   0.08130     0.030     0.474
            O      0.24080   0.40520   0.03430     1.000     0.790
            O      0.67230   0.29240   0.45420     1.000     0.869
            O      0.68340   0.34010   0.20240     1.000     0.947
            O      0.31730   0.09680   0.14320     1.000     0.869
            O      0.22700   0.41050   0.33500     1.000     0.869

            X-RAY WAVELENGTH:     1.541838
            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  4 +/-  7 +/-  9
            MAX. ABS. INTENSITY / VOLUME**2:      114.5309972    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                14.63         36.03        6.0544    0   1   1
                17.84         30.24        4.9710    0   0   2
                18.61        100.00        4.7690    1   0   0
                21.33         48.04        4.1655    0   1   2
                23.31          4.97        3.8165    0   2   0
                23.73         18.90        3.7502   -1   1   1
                23.78         21.75        3.7425    1   1   1
                24.99         68.05        3.5630    0   2   1
                25.84          9.60        3.4474   -1   0   2
                25.94         19.07        3.4354    1   0   2
                28.41         36.14        3.1418   -1   1   2
                28.49         30.46        3.1327    1   1   2
                29.38         42.09        3.0398    0   1   3
                29.51          1.46        3.0272    0   2   2
                29.99         11.98        2.9798    1   2   0
                31.32         66.46        2.8560   -1   2   1
                31.36         64.21        2.8526    1   2   1
                34.95         44.89        2.5671   -1   1   3
                35.06         48.81        2.5597    1   1   3
                36.14          5.51        2.4855    0   0   4
                36.45          3.68        2.4649    0   3   1
                37.73         20.85        2.3845    2   0   0
                38.08         15.45        2.3633    0   1   4
                39.80         27.45        2.2649    0   3   2
