      Epidote
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050202
      Ito T
      American Mineralogist 32 (1947) 309-321
      The structure of epidote (HCa2(Al,Fe)Al2Si3O13)

      CELL PARAMETERS:   8.960000   5.630000   10.20000   90.00000   115.4000   90.00000
      SPACE GROUP: P2_1/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                55.80          2.35        1.6469   -2   2   5
                55.98          3.38        1.6421    1   0   5
                56.06          1.11        1.6397   -5   1   1
                55.93          1.50        1.6433    1   3   2
                56.19          6.28        1.6365   -1   0   6
                56.21          6.85        1.6357    4   2   0
                56.35          2.13        1.6321   -5   1   4
                56.52          2.44        1.6277   -4   2   4
                56.60          1.17        1.6255    1   2   4
                56.84          1.99        1.6191   -2   1   6
                57.27         11.00        1.6080    5   0   0
                57.39          2.45        1.6048    4   0   2
                57.35         16.35        1.6059   -3   2   5
                57.99          7.15        1.5897   -4   0   6
                58.40          4.26        1.5795   -3   3   2
                60.54          2.32        1.5288    0   0   6
                60.88          3.83        1.5210    4   2   1
                61.48          3.60        1.5075    2   3   2
                61.79          1.42        1.5008   -5   2   2
                63.40          3.10        1.4664   -5   0   6
                63.58          1.68        1.4627   -6   0   4
                63.89          4.07        1.4564    2   2   4
                64.09          1.69        1.4522    0   3   4
                64.80          2.26        1.4381   -3   2   6
                65.95          3.85        1.4158   -6   0   1
                66.30          1.63        1.4092   -4   0   7
                66.40         17.86        1.4073    0   4   0
                66.99          2.42        1.3962    5   2   0
                67.01          2.02        1.3959    1   0   6
                67.42          2.95        1.3884   -5   2   5
                67.56          1.21        1.3860   -1   4   1
                68.68          1.52        1.3659   -6   1   5
                69.76          1.44        1.3474    5   0   2
                70.52          1.03        1.3348   -5   0   7
                70.81          1.58        1.3301   -6   0   6
                70.91          2.83        1.3283    2   4   0
                72.09          3.92        1.3096    5   2   1
                72.64          1.46        1.3010   -6   2   2
                72.84          2.22        1.2979   -6   2   4
                72.96          2.16        1.2959    3   2   4
                72.75          1.04        1.2993   -1   4   3
                74.13          1.86        1.2784    0   4   3
                74.84          1.22        1.2681   -7   0   4
                75.45          2.86        1.2592   -6   2   5
                75.39          7.75        1.2601   -4   2   7
                76.28          2.94        1.2476   -1   2   7
                76.40          1.88        1.2460    3   4   0
                76.54          1.57        1.2440   -3   4   3
                77.57          1.00        1.2301    2   4   2
                78.82          1.24        1.2137   -7   1   5
                78.85          1.42        1.2132    1   0   7
                78.98          1.12        1.2116   -5   0   8
                79.11          1.67        1.2099    6   2   0
                79.09          1.69        1.2101   -1   0   8
                83.32          1.82        1.1591    6   0   2
                83.47          1.36        1.1575   -3   2   8
                83.73          3.25        1.1544    4   2   4
                83.53          1.06        1.1567   -2   4   5
                84.11          2.62        1.1503    2   2   6
                84.50          1.12        1.1459    3   4   2
                85.60          1.29        1.1340    4   0   5
                87.50          3.76        1.1141    1   2   7
                87.63          2.14        1.1128   -5   2   8
                87.63          2.14        1.1128   -5   2   8
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
