      Tweddillite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from single crystal data of R120125
      Armbruster T, Gnos E, Dixon R, Gutzmer J, Hejny C, Dobelin N, Medenbach O
      Mineralogical Magazine 66 (2002) 137-150
      Manganvesuvianite and tweddillite, two new Mn3+-silicate minerals
      from the Kalahari manganese fields, South Africa
      Locality: Kalahari manganese fields, South Africa
      _database_code_amcsd 0014561

      CELL PARAMETERS:   8.9130  5.6610 10.2490   90.000  114.550   90.000
      SPACE GROUP: P2_1/m    

                76.06          2.75        1.2513    1   3   5
                76.87          4.01        1.2402    2   4   2
                77.43          2.19        1.2326    4   3   2
                79.01          2.14        1.2118   -6   1   7
                79.53          1.37        1.2053   -3   4   4
                79.54          1.69        1.2051    0   2   7
                81.04          2.23        1.1866   -4   4   1
                83.04          1.68        1.1630    2   3   5
                84.21          1.18        1.1498   -6   0   8
                84.97          1.53        1.1414    0   1   8
                85.60          1.44        1.1347    7   1   0
                87.31          1.94        1.1168   -7   1   7
                87.31          1.77        1.1168   -5   2   8
                89.88          1.15        1.0914    1   0   8
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
