      Arfvedsonite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050514
      Hawthorne F C
      The Canadian Mineralogist 14 (1976) 346-356
      The crystal chemistry of the amphiboles: V. The structure and
      chemistry of arfvedsonite

      CELL PARAMETERS:   10.00700   18.07700   5.332000   90.00000   104.1010   90.00000
      SPACE GROUP: C2/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                64.66          4.79        1.4407    4  10   0
                65.58          2.15        1.4226   -5   3   3
                66.56          2.14        1.4040   -4   6   3
                67.58          9.22        1.3853    5   1   2
                68.84          2.68        1.3630    7   1   0
                69.20          4.19        1.3568   -5   5   3
                68.85          3.67        1.3628    2  10   2
                69.38          3.01        1.3538    5   3   2
                69.54          6.54        1.3510    2   6   3
                70.62          1.56        1.3329    7   3   0
                70.06          2.93        1.3423   -4  10   2
                69.77          5.31        1.3471    1  11   2
                70.57          3.95        1.3338   -3  11   2
                70.95          2.05        1.3275   -1   9   3
                72.04          8.42        1.3101   -7   5   1
                71.42          4.94        1.3199   -1   1   4
                71.62          1.27        1.3168    1  13   1
                72.68          1.36        1.3001    0  12   2
                73.08         12.62        1.2940   -2  12   2
                73.09          1.56        1.2938    3   5   3
                73.18          2.45        1.2925   -1   3   4
                73.15          4.30        1.2930    0   0   4
                74.47          2.40        1.2732    4  12   0
                74.71          5.83        1.2697   -4   0   4
                77.30          2.41        1.2335    6   0   2
                78.43          1.08        1.2185    2  12   2
                80.20          2.97        1.1960    8   0   0
                80.18          5.71        1.1963   -5  11   2
                80.29          1.13        1.1950    6  10   0
                80.79          1.16        1.1887    4  10   2
                81.52          3.92        1.1800    2   0   4
                82.70          3.22        1.1662   -6  10   2
                83.37          1.41        1.1585   -8   4   2
                86.02          1.05        1.1294    7   9   0
                87.90          1.11        1.1100   -6   4   4
                88.07          2.11        1.1084    3   1   4
                88.70          2.78        1.1020    0  16   1
                89.11          1.39        1.0980    5   5   3
                90.02          2.14        1.0893    4  12   2
                90.02          2.14        1.0893    4  12   2
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
