      Phosphophyllite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern R050224
      Hill R J
      American Mineralogist 62 (1977) 812-817
      The crystal structure of phosphophyllite

      CELL PARAMETERS:   10.39315   5.091744   10.57362   90.00000   121.1252   90.00000
      SPACE GROUP: P2_1/c
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                66.25          2.54        1.4103    2   2   4
                66.41          5.82        1.4071   -4   3   3
                66.64          1.06        1.4028    1   3   3
                66.89          1.77        1.3981    3   3   1
                67.84          1.98        1.3809   -5   2   6
                68.01          1.41        1.3779   -7   1   2
                68.19          1.61        1.3748   -6   2   5
                68.20          1.84        1.3745   -1   2   6
                68.37          1.09        1.3715    5   1   2
                69.29          1.05        1.3555   -6   2   1
                69.46          2.04        1.3527    5   2   1
                70.27          1.24        1.3389   -7   1   6
                70.98          2.55        1.3273    1   1   6
                71.33          1.44        1.3216   -4   0   8
                71.40          1.14        1.3206   -3   3   5
                72.11          1.20        1.3092   -5   3   2
                72.19          4.13        1.3079    2   3   3
                72.35          1.24        1.3056    3   3   2
                73.49          1.10        1.2880    4   0   4
                73.94          1.30        1.2813    6   2   0
                74.07          1.77        1.2793   -5   3   1
                74.08          1.64        1.2792   -4   1   8
                74.85          4.03        1.2679   -5   1   8
                75.08          1.52        1.2646   -3   1   8
                75.15          2.13        1.2636   -2   0   8
                75.37          2.76        1.2605    0   4   1
                75.53          1.07        1.2582   -8   0   6
                76.28          1.10        1.2476   -7   2   2
                77.15          1.67        1.2358    1   4   1
                78.45          1.02        1.2185   -7   2   6
                79.63          1.79        1.2034   -8  -1   2
                80.02          1.19        1.1984    6   1   2
                80.32          1.84        1.1948   -2   4   3
                81.47          1.16        1.1808   -5   3   6
                83.10          1.44        1.1617   -3   2   8
                84.20          3.35        1.1493    4   2   4
                84.95          1.35        1.1410   -8   0   8
                86.40          2.01        1.1256   -3   3   7
                87.93          2.26        1.1099   -5   3   7
                87.93          2.26        1.1099   -5   3   7
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
