angle,intensity
5.0,96.0
5.01,81.0
5.02,115.0
5.03,89.0
5.04,100.0
5.05,88.0
5.06,96.0
5.07,101.0
5.08,84.0
5.09,92.0
5.1,113.0
5.11,86.0
5.12,114.0
5.13,104.0
5.14,106.0
5.15,93.0
5.16,98.0
5.17,80.0
5.18,92.0
5.19,108.0
5.2,114.0
5.21,90.0
5.22,100.0
5.23,102.0
5.24,91.0
5.25,98.0
5.26,89.0
5.27,106.0
5.28,94.0
5.29,101.0
5.3,99.0
5.31,83.0
5.32,109.0
5.33,111.0
5.34,101.0
5.35,109.0
5.36,111.0
5.37,104.0
5.38,126.0
5.39,108.0
5.4,91.0
5.41,93.0
5.42,100.0
5.43,97.0
5.44,93.0
5.45,88.0
5.46,85.0
5.47,106.0
5.48,101.0
5.49,97.0
5.5,94.0
5.51,114.0
5.52,84.0
5.53,105.0
5.54,98.0
5.55,103.0
5.56,93.0
5.57,100.0
5.58,101.0
5.59,95.0
5.6,105.0
5.61,78.0
5.62,102.0
5.63,108.0
5.64,108.0
5.65,89.0
5.66,91.0
5.67,88.0
5.68,87.0
5.69,101.0
5.7,90.0
5.71,91.0
5.72,96.0
5.73,92.0
5.74,94.0
5.75,99.0
5.76,84.0
5.77,92.0
5.78,118.0
5.79,99.0
5.8,82.0
5.81,110.0
5.82,112.0
5.83,105.0
5.84,118.0
5.85,109.0
5.86,98.0
5.87,113.0
5.88,93.0
5.89,92.0
5.9,105.0
5.91,94.0
5.92,102.0
5.93,90.0
5.94,121.0
5.95,100.0
5.96,116.0
5.97,114.0
5.98,128.0
5.99,96.0
6.0,122.0
6.01,100.0
6.02,104.0
6.03,97.0
6.04,94.0
6.05,104.0
6.06,104.0
6.07,104.0
6.08,87.0
6.09,105.0
6.1,115.0
6.11,114.0
6.12,100.0
6.13,96.0
6.14,98.0
6.15,115.0
6.16,129.0
6.17,106.0
6.18,86.0
6.19,114.0
6.2,103.0
6.21,103.0
6.22,109.0
6.23,113.0
6.24,99.0
6.25,108.0
6.26,128.0
6.27,99.0
6.28,110.0
6.29,104.0
6.3,105.0
6.31,100.0
6.32,112.0
6.33,99.0
6.34,109.0
6.35,103.0
6.36,119.0
6.37,113.0
6.38,87.0
6.39,104.0
6.4,90.0
6.41,74.0
6.42,107.0
6.43,106.0
6.44,111.0
6.45,132.0
6.46,102.0
6.47,124.0
6.48,115.0
6.49,102.0
6.5,99.0
6.51,105.0
6.52,107.0
6.53,111.0
6.54,109.0
6.55,112.0
6.56,97.0
6.57,109.0
6.58,114.0
6.59,112.0
6.6,120.0
6.61,98.0
6.62,113.0
6.63,103.0
6.64,125.0
6.65,113.0
6.66,93.0
6.67,101.0
6.68,97.0
6.69,104.0
6.7,105.0
6.71,110.0
6.72,127.0
6.73,106.0
6.74,112.0
6.75,120.0
6.76,86.0
6.77,114.0
6.78,123.0
6.79,133.0
6.8,88.0
6.81,107.0
6.82,107.0
6.83,101.0
6.84,103.0
6.85,127.0
6.86,106.0
6.87,95.0
6.88,97.0
6.89,96.0
6.9,94.0
6.91,107.0
6.92,104.0
6.93,102.0
6.94,103.0
6.95,119.0
6.96,105.0
6.97,112.0
6.98,103.0
6.99,90.0
7.0,126.0
7.01,103.0
7.02,104.0
7.03,96.0
7.04,104.0
7.05,116.0
7.06,100.0
7.07,110.0
7.08,95.0
7.09,105.0
7.1,94.0
7.11,125.0
7.12,127.0
7.13,91.0
7.14,115.0
7.15,107.0
7.16,111.0
7.17,120.0
7.18,103.0
7.19,93.0
7.2,101.0
7.21,125.0
7.22,113.0
7.23,94.0
7.24,102.0
7.25,125.0
7.26,122.0
7.27,120.0
7.28,104.0
7.29,113.0
7.3,102.0
7.31,132.0
7.32,110.0
7.33,119.0
7.34,109.0
7.35,119.0
7.36,114.0
7.37,122.0
7.38,100.0
7.39,117.0
7.4,95.0
7.41,105.0
7.42,126.0
7.43,124.0
7.44,103.0
7.45,107.0
7.46,104.0
7.47,116.0
7.48,125.0
7.49,111.0
7.5,112.0
7.51,102.0
7.52,106.0
7.53,128.0
7.54,103.0
7.55,119.0
7.56,117.0
7.57,132.0
7.58,122.0
7.59,111.0
7.6,126.0
7.61,120.0
7.62,116.0
7.63,109.0
7.64,112.0
7.65,102.0
7.66,123.0
7.67,101.0
7.68,127.0
7.69,127.0
7.7,114.0
7.71,128.0
7.72,109.0
7.73,129.0
7.74,120.0
7.75,119.0
7.76,133.0
7.77,108.0
7.78,124.0
7.79,101.0
7.8,95.0
7.81,125.0
7.82,133.0
7.83,123.0
7.84,122.0
7.85,106.0
7.86,114.0
7.87,128.0
7.88,105.0
7.89,97.0
7.9,107.0
7.91,140.0
7.92,95.0
7.93,121.0
7.94,120.0
7.95,114.0
7.96,119.0
7.97,104.0
7.98,124.0
7.99,118.0
8.0,129.0
8.01,102.0
8.02,123.0
8.03,139.0
8.04,131.0
8.05,121.0
8.06,127.0
8.07,99.0
8.08,112.0
8.09,123.0
8.1,132.0
8.11,102.0
8.12,121.0
8.13,126.0
8.14,115.0
8.15,118.0
8.16,117.0
8.17,104.0
8.18,114.0
8.19,136.0
8.2,114.0
8.21,115.0
8.22,123.0
8.23,106.0
8.24,97.0
8.25,118.0
8.26,108.0
8.27,122.0
8.28,116.0
8.29,94.0
8.3,99.0
8.31,104.0
8.32,116.0
8.33,100.0
8.34,113.0
8.35,119.0
8.36,123.0
8.37,108.0
8.38,116.0
8.39,104.0
8.4,116.0
8.41,98.0
8.42,100.0
8.43,121.0
8.44,94.0
8.45,115.0
8.46,114.0
8.47,111.0
8.48,114.0
8.49,102.0
8.5,116.0
8.51,123.0
8.52,120.0
8.53,109.0
8.54,110.0
8.55,91.0
8.56,93.0
8.57,96.0
8.58,93.0
8.59,96.0
8.6,111.0
8.61,105.0
8.62,97.0
8.63,107.0
8.64,113.0
8.65,119.0
8.66,82.0
8.67,108.0
8.68,138.0
8.69,109.0
8.7,109.0
8.71,98.0
8.72,105.0
8.73,123.0
8.74,96.0
8.75,107.0
8.76,136.0
8.77,117.0
8.78,105.0
8.79,109.0
8.8,114.0
8.81,114.0
8.82,124.0
8.83,120.0
8.84,113.0
8.85,99.0
8.86,99.0
8.87,105.0
8.88,111.0
8.89,116.0
8.9,93.0
8.91,109.0
8.92,100.0
8.93,120.0
8.94,108.0
8.95,102.0
8.96,108.0
8.97,116.0
8.98,107.0
8.99,101.0
9.0,107.0
9.01,103.0
9.02,110.0
9.03,96.0
9.04,127.0
9.05,121.0
9.06,94.0
9.07,97.0
9.08,122.0
9.09,109.0
9.1,108.0
9.11,99.0
9.12,109.0
9.13,120.0
9.14,119.0
9.15,123.0
9.16,99.0
9.17,126.0
9.18,111.0
9.19,101.0
9.2,121.0
9.21,102.0
9.22,104.0
9.23,106.0
9.24,120.0
9.25,109.0
9.26,106.0
9.27,108.0
9.28,86.0
9.29,115.0
9.3,103.0
9.31,111.0
9.32,97.0
9.33,113.0
9.34,107.0
9.35,108.0
9.36,94.0
9.37,97.0
9.38,110.0
9.39,103.0
9.4,122.0
9.41,113.0
9.42,102.0
9.43,95.0
9.44,105.0
9.45,111.0
9.46,96.0
9.47,120.0
9.48,108.0
9.49,92.0
9.5,110.0
9.51,121.0
9.52,114.0
9.53,112.0
9.54,115.0
9.55,118.0
9.56,124.0
9.57,102.0
9.58,116.0
9.59,96.0
9.6,97.0
9.61,113.0
9.62,115.0
9.63,113.0
9.64,111.0
9.65,100.0
9.66,107.0
9.67,122.0
9.68,123.0
9.69,115.0
9.7,105.0
9.71,108.0
9.72,106.0
9.73,120.0
9.74,123.0
9.75,93.0
9.76,125.0
9.77,129.0
9.78,111.0
9.79,111.0
9.8,115.0
9.81,114.0
9.82,96.0
9.83,112.0
9.84,123.0
9.85,126.0
9.86,118.0
9.87,130.0
9.88,121.0
9.89,88.0
9.9,129.0
9.91,115.0
9.92,126.0
9.93,119.0
9.94,116.0
9.95,104.0
9.96,96.0
9.97,109.0
9.98,134.0
9.99,109.0
10.0,100.0
10.01,95.0
10.02,113.0
10.03,125.0
10.04,104.0
10.05,106.0
10.06,106.0
10.07,115.0
10.08,122.0
10.09,129.0
10.1,117.0
10.11,99.0
10.12,111.0
10.13,101.0
10.14,100.0
10.15,104.0
10.16,106.0
10.17,109.0
10.18,106.0
10.19,100.0
10.2,112.0
10.21,121.0
10.22,110.0
10.23,104.0
10.24,108.0
10.25,119.0
10.26,113.0
10.27,101.0
10.28,103.0
10.29,135.0
10.3,96.0
10.31,108.0
10.32,105.0
10.33,100.0
10.34,121.0
10.35,103.0
10.36,108.0
10.37,103.0
10.38,128.0
10.39,102.0
10.4,113.0
10.41,114.0
10.42,104.0
10.43,112.0
10.44,107.0
10.45,103.0
10.46,104.0
10.47,114.0
10.48,109.0
10.49,107.0
10.5,122.0
10.51,94.0
10.52,112.0
10.53,112.0
10.54,120.0
10.55,103.0
10.56,96.0
10.57,99.0
10.58,122.0
10.59,98.0
10.6,131.0
10.61,116.0
10.62,114.0
10.63,101.0
10.64,107.0
10.65,127.0
10.66,119.0
10.67,111.0
10.68,125.0
10.69,106.0
10.7,108.0
10.71,93.0
10.72,103.0
10.73,96.0
10.74,111.0
10.75,114.0
10.76,148.0
10.77,132.0
10.78,127.0
10.79,82.0
10.8,117.0
10.81,106.0
10.82,114.0
10.83,117.0
10.84,112.0
10.85,115.0
10.86,111.0
10.87,95.0
10.88,98.0
10.89,115.0
10.9,115.0
10.91,121.0
10.92,114.0
10.93,99.0
10.94,106.0
10.95,81.0
10.96,100.0
10.97,90.0
10.98,117.0
10.99,102.0
11.0,111.0
11.01,103.0
11.02,108.0
11.03,123.0
11.04,112.0
11.05,101.0
11.06,109.0
11.07,97.0
11.08,127.0
11.09,107.0
11.1,110.0
11.11,105.0
11.12,118.0
11.13,117.0
11.14,94.0
11.15,108.0
11.16,94.0
11.17,121.0
11.18,108.0
11.19,112.0
11.2,108.0
11.21,116.0
11.22,113.0
11.23,98.0
11.24,115.0
11.25,118.0
11.26,127.0
11.27,105.0
11.28,120.0
11.29,120.0
11.3,129.0
11.31,103.0
11.32,93.0
11.33,122.0
11.34,101.0
11.35,125.0
11.36,108.0
11.37,103.0
11.38,107.0
11.39,101.0
11.4,114.0
11.41,106.0
11.42,135.0
11.43,121.0
11.44,104.0
11.45,126.0
11.46,114.0
11.47,118.0
11.48,113.0
11.49,101.0
11.5,110.0
11.51,119.0
11.52,100.0
11.53,98.0
11.54,126.0
11.55,124.0
11.56,103.0
11.57,111.0
11.58,103.0
11.59,123.0
11.6,114.0
11.61,109.0
11.62,115.0
11.63,113.0
11.64,117.0
11.65,115.0
11.66,93.0
11.67,103.0
11.68,103.0
11.69,104.0
11.7,102.0
11.71,107.0
11.72,120.0
11.73,122.0
11.74,107.0
11.75,107.0
11.76,114.0
11.77,107.0
11.78,116.0
11.79,127.0
11.8,128.0
11.81,89.0
11.82,98.0
11.83,126.0
11.84,96.0
11.85,128.0
11.86,115.0
11.87,111.0
11.88,103.0
11.89,110.0
11.9,122.0
11.91,102.0
11.92,95.0
11.93,120.0
11.94,122.0
11.95,119.0
11.96,118.0
11.97,126.0
11.98,121.0
11.99,114.0
12.0,113.0
12.01,99.0
12.02,109.0
12.03,115.0
12.04,108.0
12.05,95.0
12.06,119.0
12.07,135.0
12.08,118.0
12.09,108.0
12.1,94.0
12.11,116.0
12.12,92.0
12.13,133.0
12.14,123.0
12.15,94.0
12.16,110.0
12.17,119.0
12.18,111.0
12.19,131.0
12.2,118.0
12.21,116.0
12.22,119.0
12.23,109.0
12.24,104.0
12.25,102.0
12.26,113.0
12.27,104.0
12.28,107.0
12.29,106.0
12.3,107.0
12.31,117.0
12.32,111.0
12.33,117.0
12.34,112.0
12.35,123.0
12.36,131.0
12.37,106.0
12.38,112.0
12.39,121.0
12.4,99.0
12.41,109.0
12.42,107.0
12.43,124.0
12.44,120.0
12.45,108.0
12.46,124.0
12.47,114.0
12.48,125.0
12.49,114.0
12.5,137.0
12.51,120.0
12.52,103.0
12.53,115.0
12.54,128.0
12.55,121.0
12.56,101.0
12.57,114.0
12.58,114.0
12.59,113.0
12.6,114.0
12.61,95.0
12.62,128.0
12.63,98.0
12.64,115.0
12.65,124.0
12.66,112.0
12.67,106.0
12.68,120.0
12.69,111.0
12.7,110.0
12.71,101.0
12.72,112.0
12.73,122.0
12.74,93.0
12.75,116.0
12.76,124.0
12.77,112.0
12.78,104.0
12.79,119.0
12.8,110.0
12.81,105.0
12.82,132.0
12.83,115.0
12.84,117.0
12.85,103.0
12.86,112.0
12.87,114.0
12.88,111.0
