angle,intensity
1.000000000000000000e+01,6.381888544773205441e-01
1.002000571591883471e+01,1.225146270175564212e+00
1.004001143183766764e+01,3.478267350418163262e-01
1.006001714775650235e+01,2.180766074764776352e+00
1.008002286367533529e+01,1.541921809235991203e+00
1.010002857959417000e+01,1.823907084347114571e+00
1.012003429551300293e+01,4.217791224296567054e-01
1.014004001143183764e+01,2.097913807176554180e+00
1.016004572735067235e+01,2.323762635159951184e+00
1.018005144326950528e+01,5.459078333107523218e-01
1.020005715918833999e+01,1.828836799896850884e+00
1.022006287510717293e+01,1.772947389851953659e+00
1.024006859102600764e+01,1.115404860453454550e+00
1.026007430694484057e+01,1.995470101247205585e+00
1.028008002286367528e+01,1.958203628006319752e+00
1.030008573878250999e+01,2.137210251152598328e+00
1.032009145470134293e+01,1.513827999033127591e+00
1.034009717062017764e+01,1.068797955228117047e+00
1.036010288653901057e+01,9.249337387375098363e-01
1.038010860245784528e+01,2.187570247296663162e+00
1.040011431837667999e+01,1.281586957510131741e+00
1.042012003429551292e+01,1.836606641939272366e+00
1.044012575021434763e+01,1.586468398680997760e+00
1.046013146613318057e+01,2.060303810765610422e+00
1.048013718205201528e+01,1.724408087127755840e+00
1.050014289797084821e+01,2.882650377181539270e+00
1.052014861388968292e+01,2.346461847204294848e+00
1.054015432980851585e+01,1.322203511796422148e+00
1.056016004572735056e+01,1.447022640354807654e+00
1.058016576164618527e+01,1.185503893151956589e+00
1.060017147756501821e+01,2.772200285652324681e+00
1.062017719348385292e+01,2.047419660259078178e+00
1.064018290940268585e+01,1.790247292501169207e+00
1.066018862532152056e+01,2.188953859812836633e+00
1.068019434124035527e+01,2.512649290636303157e+00
1.070020005715918820e+01,1.635940724291799597e+00
1.072020577307802292e+01,1.462390668412483663e+00
1.074021148899685585e+01,2.377679439840119535e+00
1.076021720491569056e+01,3.039352387809880263e+00
1.078022292083452349e+01,2.452427004327337290e+00
1.080022863675335820e+01,3.125889031156914299e+00
1.082023435267219291e+01,2.808643476081625678e+00
1.084024006859102585e+01,1.981386310930526973e+00
1.086024578450986056e+01,1.970586104552118689e+00
1.088025150042869349e+01,2.793171081607694450e+00
1.090025721634752820e+01,2.690898024538975086e+00
1.092026293226636113e+01,2.669983013035111874e+00
1.094026864818519584e+01,3.389294845072742035e+00
1.096027436410403055e+01,2.721125240416629065e+00
1.098028008002286349e+01,2.724737474230623402e+00
1.100028579594169820e+01,3.865423685426545575e+00
1.102029151186053113e+01,3.308442726172806658e+00
1.104029722777936584e+01,3.940372662941490578e+00
1.106030294369819877e+01,2.605697860663013898e+00
1.108030865961703348e+01,4.164543320732988718e+00
1.110031437553586819e+01,3.720206096675896745e+00
1.112032009145470113e+01,4.010449676764046956e+00
1.114032580737353584e+01,3.863656864223007581e+00
1.116033152329236877e+01,4.036328311330840357e+00
1.118033723921120348e+01,3.106498376889289315e+00
1.120034295513003642e+01,4.559952212195947041e+00
1.122034867104887113e+01,3.169443237498135169e+00
1.124035438696770584e+01,4.023196708640680797e+00
1.126036010288653877e+01,3.180487591665139835e+00
1.128036581880537348e+01,4.037931914184279769e+00
1.130037153472420641e+01,4.474151950171306069e+00
1.132037725064304112e+01,4.808212835735606205e+00
1.134038296656187583e+01,4.023472386610995599e+00
1.136038868248070877e+01,3.965292801815868184e+00
1.138039439839954348e+01,3.904311836404894542e+00
1.140040011431837641e+01,5.262374931877376483e+00
1.142040583023721112e+01,4.207559455745298216e+00
1.144041154615604405e+01,4.063033084075930113e+00
1.146041726207487876e+01,4.407206014460678389e+00
1.148042297799371170e+01,5.675287254107546531e+00
1.150042869391254641e+01,5.316481500041344788e+00
1.152043440983138112e+01,4.850233962360791296e+00
1.154044012575021405e+01,5.325628763234314000e+00
1.156044584166904876e+01,4.440038461324561148e+00
1.158045155758788169e+01,5.880642307943628744e+00
1.160045727350671640e+01,5.820572808417633581e+00
1.162046298942555111e+01,6.462510426718692358e+00
1.164046870534438405e+01,5.577000883328247838e+00
1.166047442126321876e+01,6.606252597985513120e+00
1.168048013718205169e+01,5.063828639600754578e+00
1.170048585310088640e+01,7.037097195658942539e+00
1.172049156901971934e+01,6.090026067802379650e+00
1.174049728493855405e+01,6.766617583735025754e+00
1.176050300085738698e+01,6.826715588794404432e+00
1.178050871677622169e+01,7.162559980702702944e+00
1.180051443269505640e+01,6.442198111873334909e+00
1.182052014861388933e+01,6.891450221348654814e+00
1.184052586453272404e+01,6.994212591188448513e+00
1.186053158045155698e+01,7.592261433435790963e+00
1.188053729637039169e+01,6.517675209834431271e+00
1.190054301228922640e+01,6.535973509670230719e+00
1.192054872820805933e+01,6.980401011832286784e+00
1.194055444412689404e+01,7.462688327211822958e+00
1.196056016004572697e+01,8.300863758401636261e+00
1.198056587596456168e+01,8.408221164854385421e+00
1.200057159188339639e+01,7.443221033842415402e+00
1.202057730780222933e+01,7.791101314057731209e+00
1.204058302372106226e+01,7.604502291654461565e+00
1.206058873963989697e+01,8.145301710558261021e+00
1.208059445555873168e+01,8.612432360883023108e+00
1.210060017147756461e+01,8.223414779931642826e+00
1.212060588739639932e+01,9.438530278183678845e+00
1.214061160331523226e+01,1.026104696022514240e+01
1.216061731923406697e+01,9.428687377947639447e+00
1.218062303515290168e+01,1.054866806078286068e+01
1.220062875107173461e+01,9.689668411595125264e+00
1.222063446699056932e+01,9.346015671750258491e+00
1.224064018290940226e+01,9.813278219833760474e+00
1.226064589882823697e+01,9.923370741070254297e+00
1.228065161474707168e+01,1.117509341631243736e+01
1.230065733066590461e+01,1.046247125773455089e+01
1.232066304658473754e+01,1.004267949103797264e+01
1.234066876250357225e+01,1.036811460557316700e+01
1.236067447842240696e+01,1.016506263009673994e+01
1.238068019434123990e+01,1.126293241833616499e+01
1.240068591026007461e+01,1.115944011120266310e+01
1.242069162617890754e+01,1.064771902743865084e+01
1.244069734209774225e+01,1.088626851685628161e+01
1.246070305801657696e+01,1.013024446596540074e+01
1.248070877393540989e+01,1.074914101508708519e+01
1.250071448985424460e+01,1.105757329325992444e+01
1.252072020577307754e+01,1.053150309924504846e+01
1.254072592169191225e+01,9.901750544416353605e+00
1.256073163761074696e+01,9.268890684353005227e+00
1.258073735352957989e+01,9.565328259339967332e+00
1.260074306944841460e+01,8.375966572171972047e+00
1.262074878536724754e+01,8.897873188746920903e+00
1.264075450128608225e+01,7.286699741412828502e+00
1.266076021720491518e+01,7.880912794028001045e+00
1.268076593312374989e+01,6.279177193534368762e+00
1.270077164904258282e+01,6.470152578232500673e+00
1.272077736496141753e+01,5.992920215205778334e+00
1.274078308088025224e+01,4.697667978717219306e+00
1.276078879679908518e+01,3.775975233277969689e+00
1.278079451271791989e+01,3.893834281767893479e+00
1.280080022863675282e+01,4.071976047085333228e+00
1.282080594455558753e+01,3.746308615274486442e+00
1.284081166047442224e+01,2.197982966758691870e+00
1.286081737639325517e+01,2.959151220552163952e+00
1.288082309231208988e+01,1.819314698628152982e+00
1.290082880823092282e+01,1.676344758938363766e+00
1.292083452414975753e+01,1.712496417404278715e+00
1.294084024006859224e+01,2.204083970130579662e+00
1.296084595598742517e+01,1.647834490001529817e+00
1.298085167190625810e+01,1.891002538280620815e+00
1.300085738782509281e+01,2.379679823232365710e+00
1.302086310374392752e+01,2.874136080856813713e+00
1.304086881966276046e+01,2.729863509251115872e+00
1.306087453558159517e+01,1.925466371158408352e+00
1.308088025150042810e+01,2.133475660171156640e+00
1.310088596741926281e+01,2.802630223758837857e+00
1.312089168333809752e+01,2.350248726347710093e+00
1.314089739925693046e+01,1.917835011891574348e+00
1.316090311517576517e+01,2.132435136684013521e+00
1.318090883109459810e+01,2.178367991860525432e+00
1.320091454701343281e+01,2.842302947343379405e+00
1.322092026293226752e+01,3.102170251697768055e+00
1.324092597885110045e+01,1.709474942517938079e+00
1.326093169476993339e+01,2.430459809560835183e+00
1.328093741068876810e+01,1.645197176929026783e+00
1.330094312660760281e+01,2.449229792786697057e+00
1.332094884252643574e+01,2.769790890852630749e+00
1.334095455844527045e+01,1.570765018775082122e+00
1.336096027436410338e+01,1.414764446659507735e+00
1.338096599028293809e+01,1.593579665729865535e+00
1.340097170620177280e+01,2.690684423470510733e+00
1.342097742212060574e+01,2.074182111689462538e+00
1.344098313803944045e+01,3.065784646999333951e+00
1.346098885395827338e+01,1.559454951645411924e+00
1.348099456987710809e+01,3.353946512411222436e+00
1.350100028579594280e+01,1.691235234286121658e+00
1.352100600171477573e+01,2.906320334967227303e+00
1.354101171763361044e+01,2.544250716012159685e+00
1.356101743355244338e+01,3.047095892834440267e+00
1.358102314947127809e+01,2.119248269588769329e+00
1.360102886539011102e+01,3.217812281433570565e+00
1.362103458130894573e+01,3.257662735684205835e+00
1.364104029722777867e+01,3.146660386244758190e+00
1.366104601314661338e+01,1.866286422078855756e+00
1.368105172906544809e+01,2.413695926621765242e+00
1.370105744498428102e+01,2.403312553104867799e+00
1.372106316090311573e+01,2.522367277039132105e+00
1.374106887682194866e+01,1.812981147595274622e+00
1.376107459274078337e+01,2.745088030856727368e+00
1.378108030865961808e+01,2.575739565334929537e+00
1.380108602457845102e+01,3.092364300096614116e+00
1.382109174049728573e+01,2.364887532162331052e+00
1.384109745641611866e+01,2.433138468163175361e+00
1.386110317233495337e+01,2.390301705099089791e+00
1.388110888825378808e+01,3.468314493975711787e+00
1.390111460417262101e+01,3.718992920544819114e+00
1.392112032009145395e+01,3.039027556513390849e+00
1.394112603601028866e+01,2.864901747119658282e+00
1.396113175192912337e+01,2.876418228126556453e+00
1.398113746784795630e+01,3.610085632811956824e+00
1.400114318376679101e+01,2.572505880134791312e+00
1.402114889968562395e+01,3.208157997155083319e+00
1.404115461560445866e+01,3.170954943765344147e+00
1.406116033152329337e+01,3.564987305591114986e+00
1.408116604744212630e+01,2.430888226747597081e+00
1.410117176336095923e+01,3.524085384064876703e+00
1.412117747927979394e+01,3.032123208650797430e+00
1.414118319519862865e+01,2.961896450902755884e+00
1.416118891111746336e+01,2.444542501942145840e+00
1.418119462703629630e+01,3.160973012509189495e+00
1.420120034295512923e+01,3.815982999248727303e+00
1.422120605887396394e+01,4.212801891077760708e+00
1.424121177479279865e+01,3.962486940653883405e+00
1.426121749071163336e+01,2.631451957695014610e+00
1.428122320663046629e+01,4.500429660361405126e+00
1.430122892254929923e+01,4.586519799803173925e+00
1.432123463846813394e+01,3.931027085560657941e+00
1.434124035438696865e+01,4.369591607462484539e+00
1.436124607030580158e+01,4.520630360127557701e+00
1.438125178622463629e+01,4.225662747977174227e+00
1.440125750214346922e+01,3.850807417536128874e+00
1.442126321806230393e+01,3.522818415551302262e+00
1.444126893398113864e+01,3.893723471344193054e+00
1.446127464989997158e+01,4.108572360271094404e+00
1.448128036581880451e+01,3.324083490306283917e+00
1.450128608173763922e+01,4.270085298142076269e+00
1.452129179765647393e+01,3.279103634671896472e+00
1.454129751357530864e+01,5.048852743443712932e+00
1.456130322949414158e+01,4.728718672799733902e+00
1.458130894541297451e+01,3.922601514470557937e+00
1.460131466133180922e+01,4.738266226694769045e+00
1.462132037725064393e+01,4.733215096725412963e+00
1.464132609316947686e+01,5.492801297965758778e+00
1.466133180908831157e+01,4.864905606101332936e+00
1.468133752500714451e+01,4.871966208479221905e+00
1.470134324092597922e+01,5.350336304836329937e+00
1.472134895684481393e+01,5.672274064370995461e+00
1.474135467276364686e+01,4.623974162281577094e+00
1.476136038868247979e+01,4.734713116656157794e+00
1.478136610460131450e+01,4.270108184729894951e+00
1.480137182052014921e+01,4.576307837005552770e+00
1.482137753643898392e+01,5.130496164540931048e+00
1.484138325235781686e+01,4.977167709018769592e+00
1.486138896827664979e+01,6.233674912949463298e+00
1.488139468419548450e+01,4.743078012985900926e+00
1.490140040011431921e+01,4.944117369954434515e+00
1.492140611603315392e+01,5.804802604452561354e+00
1.494141183195198685e+01,6.721622332096680807e+00
1.496141754787081979e+01,5.905017222197905369e+00
1.498142326378965450e+01,6.566941568805449769e+00
1.500142897970848921e+01,5.661571869736767404e+00
1.502143469562732214e+01,6.751819249099723308e+00
1.504144041154615508e+01,6.960854609612459498e+00
1.506144612746498979e+01,6.087512434932103922e+00
1.508145184338382450e+01,5.538732849934025815e+00
1.510145755930265921e+01,5.676715008262158690e+00
1.512146327522149214e+01,6.638903060393556821e+00
1.514146899114032507e+01,5.267978529253889874e+00
1.516147470705915978e+01,6.386218884788411820e+00
1.518148042297799449e+01,5.709722762133802476e+00
