angle,intensity
1.000000000000000000e+01,7.974553285028785909e-01
1.002000571591883471e+01,1.713987848591257190e+00
1.004001143183766764e+01,1.247979967517918176e+00
1.006001714775650235e+01,8.676428946168861511e-01
1.008002286367533529e+01,5.784103204027757350e-01
1.010002857959417000e+01,9.633380136251521453e-01
1.012003429551300293e+01,1.888255053421329821e+00
1.014004001143183764e+01,1.308410150537754557e+00
1.016004572735067235e+01,1.322222040974179835e+00
1.018005144326950528e+01,4.333495057446957177e-01
1.020005715918833999e+01,1.273856135812259982e+00
1.022006287510717293e+01,1.380045378723544713e+00
1.024006859102600764e+01,1.158313227456552852e+00
1.026007430694484057e+01,1.104297083963974080e+00
1.028008002286367528e+01,1.554871165332230909e+00
1.030008573878250999e+01,1.515597398049274513e+00
1.032009145470134293e+01,1.993522752998584169e+00
1.034009717062017764e+01,1.373938764667222312e+00
1.036010288653901057e+01,1.574580019832179989e+00
1.038010860245784528e+01,9.612053696441464901e-01
1.040011431837667999e+01,1.302172771400881945e+00
1.042012003429551292e+01,7.906052022664131762e-01
1.044012575021434763e+01,1.191819281528542440e+00
1.046013146613318057e+01,1.102107185057930261e+00
1.048013718205201528e+01,1.982451218784186064e+00
1.050014289797084821e+01,1.705501204965084172e+00
1.052014861388968292e+01,6.017436835553759966e-01
1.054015432980851585e+01,1.031975979852143954e+00
1.056016004572735056e+01,9.341590053197759147e-01
1.058016576164618527e+01,1.113021629652984679e+00
1.060017147756501821e+01,1.785746997851699325e+00
1.062017719348385292e+01,7.197754567937086900e-01
1.064018290940268585e+01,2.132801623150338610e+00
1.066018862532152056e+01,1.571369786175705219e+00
1.068019434124035527e+01,1.584198220793984424e+00
1.070020005715918820e+01,9.899503287400300833e-01
1.072020577307802292e+01,1.400237691077141466e+00
1.074021148899685585e+01,7.028874267496956207e-01
1.076021720491569056e+01,2.086136151392411264e+00
1.078022292083452349e+01,1.845106564674234173e+00
1.080022863675335820e+01,1.638444556275759023e+00
1.082023435267219291e+01,1.284823581906914924e+00
1.084024006859102585e+01,1.207534324075731469e+00
1.086024578450986056e+01,8.293301688039311781e-01
1.088025150042869349e+01,1.028684742825408005e+00
1.090025721634752820e+01,5.960542927482430642e-01
1.092026293226636113e+01,2.168592140431226056e+00
1.094026864818519584e+01,9.791260251966276140e-01
1.096027436410403055e+01,1.144004224520466906e+00
1.098028008002286349e+01,1.441435690104287071e+00
1.100028579594169820e+01,1.209745770044805324e+00
1.102029151186053113e+01,5.156481200762229600e-01
1.104029722777936584e+01,2.061777895147541173e+00
1.106030294369819877e+01,1.478823653501168955e+00
1.108030865961703348e+01,1.304049213862846557e+00
1.110031437553586819e+01,1.280580592946181984e+00
1.112032009145470113e+01,1.931735144658305536e+00
1.114032580737353584e+01,1.920340264367570215e+00
1.116033152329236877e+01,1.509089685195611041e+00
1.118033723921120348e+01,1.896277586577588714e+00
1.120034295513003642e+01,1.056036593460501827e+00
1.122034867104887113e+01,2.188330089250098531e+00
1.124035438696770584e+01,1.102645374038638604e+00
1.126036010288653877e+01,6.381271855034152951e-01
1.128036581880537348e+01,1.701320041043171916e+00
1.130037153472420641e+01,2.055230296433296910e+00
1.132037725064304112e+01,2.074456873171440563e+00
1.134038296656187583e+01,1.357832673010328950e+00
1.136038868248070877e+01,1.475273543268531551e+00
1.138039439839954348e+01,2.301209000550724859e+00
1.140040011431837641e+01,2.083516269839468915e+00
1.142040583023721112e+01,2.316921936051886455e+00
1.144041154615604405e+01,1.045503943268360825e+00
1.146041726207487876e+01,1.546001575440288045e+00
1.148042297799371170e+01,1.245803662921916910e+00
1.150042869391254641e+01,1.647516886939120351e+00
1.152043440983138112e+01,1.920518066358682496e+00
1.154044012575021405e+01,2.022287851880650855e+00
1.156044584166904876e+01,9.817741099419257100e-01
1.158045155758788169e+01,1.187607659806748872e+00
1.160045727350671640e+01,2.195119811513325025e+00
1.162046298942555111e+01,1.760025853337513491e+00
1.164046870534438405e+01,1.572641716499676434e+00
1.166047442126321876e+01,1.298532275066171859e+00
1.168048013718205169e+01,2.153149441690076937e+00
1.170048585310088640e+01,2.347157257585525514e+00
1.172049156901971934e+01,1.593093359056272806e+00
1.174049728493855405e+01,2.159518082183884413e+00
1.176050300085738698e+01,1.790810598708838519e+00
1.178050871677622169e+01,1.200628434201514771e+00
