angle,intensity
1.000000000000000000e+01,5.960780458231938361e+00
1.002000571591883471e+01,5.972368614293301903e+00
1.004001143183766764e+01,6.136857733042246466e+00
1.006001714775650235e+01,5.537267340756287126e+00
1.008002286367533529e+01,6.052816973750140939e+00
1.010002857959417000e+01,6.273382314384722491e+00
1.012003429551300293e+01,6.638452733684909290e+00
1.014004001143183764e+01,4.966388263521473334e+00
1.016004572735067235e+01,5.198340143237947686e+00
1.018005144326950528e+01,5.374982665385934055e+00
1.020005715918833999e+01,5.450546054377253924e+00
1.022006287510717293e+01,4.984554727377229710e+00
1.024006859102600764e+01,5.844890954795461724e+00
1.026007430694484057e+01,5.852640402540523645e+00
1.028008002286367528e+01,5.011374259884997073e+00
1.030008573878250999e+01,5.952812770344994675e+00
1.032009145470134293e+01,5.710339791945351351e+00
1.034009717062017764e+01,6.258669480643714422e+00
1.036010288653901057e+01,6.122379731908837996e+00
1.038010860245784528e+01,5.412099297086925276e+00
1.040011431837667999e+01,5.415169471215703467e+00
1.042012003429551292e+01,5.307694687364508113e+00
1.044012575021434763e+01,6.201062458280430789e+00
1.046013146613318057e+01,6.064143993702854729e+00
1.048013718205201528e+01,5.780138794355713650e+00
1.050014289797084821e+01,5.458650453421972415e+00
1.052014861388968292e+01,5.415904625462863109e+00
1.054015432980851585e+01,5.248387971513261974e+00
1.056016004572735056e+01,5.898174701451630142e+00
1.058016576164618527e+01,5.544652750501815497e+00
1.060017147756501821e+01,5.000643111082718306e+00
1.062017719348385292e+01,6.284578444248426266e+00
1.064018290940268585e+01,5.353608725125408085e+00
1.066018862532152056e+01,5.413347961840774936e+00
1.068019434124035527e+01,5.881827972765052870e+00
1.070020005715918820e+01,6.474009218492730255e+00
1.072020577307802292e+01,5.488515447802425840e+00
1.074021148899685585e+01,5.044183329715014708e+00
1.076021720491569056e+01,5.584743386519161135e+00
1.078022292083452349e+01,5.691463236056570452e+00
1.080022863675335820e+01,5.068283106857180087e+00
1.082023435267219291e+01,4.901360309130073034e+00
1.084024006859102585e+01,5.165073691715463156e+00
1.086024578450986056e+01,5.497185837254171759e+00
1.088025150042869349e+01,4.797915160276017943e+00
1.090025721634752820e+01,5.870853801687629492e+00
1.092026293226636113e+01,5.388014586964278152e+00
1.094026864818519584e+01,6.158788630535019237e+00
1.096027436410403055e+01,5.082385212186962598e+00
1.098028008002286349e+01,5.621715455831690633e+00
1.100028579594169820e+01,5.866118607651127803e+00
1.102029151186053113e+01,5.166681471850274932e+00
1.104029722777936584e+01,5.758352365355184688e+00
1.106030294369819877e+01,5.043208014461287192e+00
1.108030865961703348e+01,6.054482870319095156e+00
1.110031437553586819e+01,5.270740207229509089e+00
1.112032009145470113e+01,4.705761555777137950e+00
1.114032580737353584e+01,5.896774547322552351e+00
1.116033152329236877e+01,5.122295206009489732e+00
1.118033723921120348e+01,5.835181689037163721e+00
1.120034295513003642e+01,5.803961195514635740e+00
1.122034867104887113e+01,5.515816913300551683e+00
1.124035438696770584e+01,5.600522616854111568e+00
1.126036010288653877e+01,5.335847579952581299e+00
1.128036581880537348e+01,5.557296548232965705e+00
1.130037153472420641e+01,4.583982250962431060e+00
1.132037725064304112e+01,4.676881983532251041e+00
1.134038296656187583e+01,5.811742770630701216e+00
1.136038868248070877e+01,4.845664430306548809e+00
1.138039439839954348e+01,5.578660683226991601e+00
1.140040011431837641e+01,5.443425518484989567e+00
1.142040583023721112e+01,5.492440889498819701e+00
1.144041154615604405e+01,5.674449340659544205e+00
1.146041726207487876e+01,5.052182891492464023e+00
1.148042297799371170e+01,5.707789441118811702e+00
1.150042869391254641e+01,5.064379227333812850e+00
1.152043440983138112e+01,5.496322914269616611e+00
1.154044012575021405e+01,5.182367534151820720e+00
1.156044584166904876e+01,5.569437863931506527e+00
1.158045155758788169e+01,5.189786548760279672e+00
1.160045727350671640e+01,5.180394352912944811e+00
1.162046298942555111e+01,5.278049093770752265e+00
1.164046870534438405e+01,4.773081626938887823e+00
1.166047442126321876e+01,5.408478218858291164e+00
1.168048013718205169e+01,5.405586676997023332e+00
1.170048585310088640e+01,5.919170084508028395e+00
1.172049156901971934e+01,5.217018305300117120e+00
1.174049728493855405e+01,5.273226667072568929e+00
1.176050300085738698e+01,5.495748375083952197e+00
1.178050871677622169e+01,5.238439695994998146e+00
1.180051443269505640e+01,5.147311205214726293e+00
1.182052014861388933e+01,5.069348200585154451e+00
1.184052586453272404e+01,5.039931484616568369e+00
1.186053158045155698e+01,5.257509671608452173e+00
1.188053729637039169e+01,5.114993799649437456e+00
1.190054301228922640e+01,5.338081851768848196e+00
1.192054872820805933e+01,5.124414831315418084e+00
1.194055444412689404e+01,5.379049883986564140e+00
1.196056016004572697e+01,5.330080953359592755e+00
1.198056587596456168e+01,5.397078150567281796e+00
1.200057159188339639e+01,5.119602865447653528e+00
1.202057730780222933e+01,5.863540432938463276e+00
1.204058302372106226e+01,5.574668798342603537e+00
1.206058873963989697e+01,5.653080137052320708e+00
1.208059445555873168e+01,5.382953588617580110e+00
1.210060017147756461e+01,4.518883710301382806e+00
1.212060588739639932e+01,4.873990825403507365e+00
1.214061160331523226e+01,5.778078892839278780e+00
1.216061731923406697e+01,5.532267817964887868e+00
1.218062303515290168e+01,5.850547254003323872e+00
1.220062875107173461e+01,5.559344698390574990e+00
1.222063446699056932e+01,6.094063181004031549e+00
1.224064018290940226e+01,5.470212557941284359e+00
1.226064589882823697e+01,5.932418078893921809e+00
1.228065161474707168e+01,5.613309319422537413e+00
1.230065733066590461e+01,4.874522609606919410e+00
1.232066304658473754e+01,4.888882576000593616e+00
