angle,intensity
1.000000000000000000e+01,6.001617671764322814e+00
1.002000571591883471e+01,6.557280972321283485e+00
1.004001143183766764e+01,6.725287592000332992e+00
1.006001714775650235e+01,6.786166376733318018e+00
1.008002286367533529e+01,6.258642900169881784e+00
1.010002857959417000e+01,6.547442205113788383e+00
1.012003429551300293e+01,6.226365999693290298e+00
1.014004001143183764e+01,5.788659497063274095e+00
1.016004572735067235e+01,6.700209966845936727e+00
1.018005144326950528e+01,6.066056023440979494e+00
1.020005715918833999e+01,6.414565038855047696e+00
1.022006287510717293e+01,5.273964919496490822e+00
1.024006859102600764e+01,5.999174657896879204e+00
1.026007430694484057e+01,5.772602746242126770e+00
1.028008002286367528e+01,6.738322216172254464e+00
1.030008573878250999e+01,5.181363565343262145e+00
1.032009145470134293e+01,5.440054632147123925e+00
1.034009717062017764e+01,6.613441459997551064e+00
1.036010288653901057e+01,6.284353504742280272e+00
1.038010860245784528e+01,5.365339286905703275e+00
1.040011431837667999e+01,6.550309192342748332e+00
1.042012003429551292e+01,5.406241007916470664e+00
1.044012575021434763e+01,5.580819159237223381e+00
1.046013146613318057e+01,6.255610617382774130e+00
1.048013718205201528e+01,6.739251231405253506e+00
1.050014289797084821e+01,5.278530412245110881e+00
1.052014861388968292e+01,6.421678759073805587e+00
1.054015432980851585e+01,5.897041111789744328e+00
1.056016004572735056e+01,4.900784035958571927e+00
1.058016576164618527e+01,5.066120839129515829e+00
1.060017147756501821e+01,5.044554567557533176e+00
1.062017719348385292e+01,5.843159302417393341e+00
1.064018290940268585e+01,5.336252986118379837e+00
1.066018862532152056e+01,6.420092539811385279e+00
1.068019434124035527e+01,5.040940914409770990e+00
1.070020005715918820e+01,5.298058348146390095e+00
1.072020577307802292e+01,4.875089411270556283e+00
1.074021148899685585e+01,6.255017870264587110e+00
1.076021720491569056e+01,6.090533412786478529e+00
1.078022292083452349e+01,6.711493725023601087e+00
1.080022863675335820e+01,5.936359485295728433e+00
1.082023435267219291e+01,5.391940177272926071e+00
1.084024006859102585e+01,4.919941032673280645e+00
1.086024578450986056e+01,5.183658352106412792e+00
1.088025150042869349e+01,5.506387128520252361e+00
1.090025721634752820e+01,6.590416272420409172e+00
1.092026293226636113e+01,6.465540930624241511e+00
1.094026864818519584e+01,6.308619209393533822e+00
1.096027436410403055e+01,5.886028237226852866e+00
1.098028008002286349e+01,5.367963570876974622e+00
1.100028579594169820e+01,5.991407145066998119e+00
1.102029151186053113e+01,5.465630927650762416e+00
1.104029722777936584e+01,5.477992476174825320e+00
1.106030294369819877e+01,6.442045607053513478e+00
1.108030865961703348e+01,5.877396700723322986e+00
1.110031437553586819e+01,6.231833800448963956e+00
1.112032009145470113e+01,6.372331720167396796e+00
1.114032580737353584e+01,5.677155632686976539e+00
1.116033152329236877e+01,5.929335590553280078e+00
1.118033723921120348e+01,4.959728122872740563e+00
1.120034295513003642e+01,4.867400138473254145e+00
1.122034867104887113e+01,6.573854913867752892e+00
1.124035438696770584e+01,5.533971934037388962e+00
1.126036010288653877e+01,4.976468014909233517e+00
1.128036581880537348e+01,4.986953214260612555e+00
1.130037153472420641e+01,5.103057258117490669e+00
1.132037725064304112e+01,5.218569263463587404e+00
1.134038296656187583e+01,4.960299345170386509e+00
1.136038868248070877e+01,4.997780384476893545e+00
1.138039439839954348e+01,6.803971409285720640e+00
1.140040011431837641e+01,5.335526081488818129e+00
1.142040583023721112e+01,5.052682999357048566e+00
1.144041154615604405e+01,5.063223797846779561e+00
1.146041726207487876e+01,5.439651875656348778e+00
1.148042297799371170e+01,5.279397488450386255e+00
1.150042869391254641e+01,6.970926118925311776e+00
1.152043440983138112e+01,5.086791877937844042e+00
1.154044012575021405e+01,7.037792336512315394e+00
1.156044584166904876e+01,5.753904415374758052e+00
1.158045155758788169e+01,5.815655403691200931e+00
1.160045727350671640e+01,6.158537822302299070e+00
1.162046298942555111e+01,6.819530425299396903e+00
1.164046870534438405e+01,6.075034513307447703e+00
1.166047442126321876e+01,7.171982767170422157e+00
1.168048013718205169e+01,7.150406931076388695e+00
1.170048585310088640e+01,7.255884944617124077e+00
1.172049156901971934e+01,6.490351169922038643e+00
1.174049728493855405e+01,6.115655761413588465e+00
1.176050300085738698e+01,6.332545858047713416e+00
1.178050871677622169e+01,6.254960870543493812e+00
1.180051443269505640e+01,7.241578784642804578e+00
1.182052014861388933e+01,7.199200828701422417e+00
1.184052586453272404e+01,6.977428587096412116e+00
1.186053158045155698e+01,6.295616869906690560e+00
1.188053729637039169e+01,6.661231273215424409e+00
1.190054301228922640e+01,6.646430139136628057e+00
1.192054872820805933e+01,7.618949716030409824e+00
1.194055444412689404e+01,6.548828286717566449e+00
1.196056016004572697e+01,7.402727098151861362e+00
1.198056587596456168e+01,6.677136464785399461e+00
1.200057159188339639e+01,8.141916659118994204e+00
1.202057730780222933e+01,6.569069854485962701e+00
1.204058302372106226e+01,8.440769026117120433e+00
1.206058873963989697e+01,7.343690546314126877e+00
1.208059445555873168e+01,8.271844475108530048e+00
1.210060017147756461e+01,8.829819032433793069e+00
1.212060588739639932e+01,8.046287189990836808e+00
1.214061160331523226e+01,9.008347967271015833e+00
1.216061731923406697e+01,9.103208702054107704e+00
1.218062303515290168e+01,7.726194004262680437e+00
1.220062875107173461e+01,9.241618498975354257e+00
1.222063446699056932e+01,7.733532538372750231e+00
1.224064018290940226e+01,8.303005810965153444e+00
1.226064589882823697e+01,9.576732281985554707e+00
1.228065161474707168e+01,8.707906564832649465e+00
1.230065733066590461e+01,9.171291857543501180e+00
1.232066304658473754e+01,1.018807019648320100e+01
1.234066876250357225e+01,8.943444940368252105e+00
1.236067447842240696e+01,9.810376952337094281e+00
1.238068019434123990e+01,1.012959017613472135e+01
1.240068591026007461e+01,1.030452755601629278e+01
1.242069162617890754e+01,1.069579202784355942e+01
1.244069734209774225e+01,9.645582230798700252e+00
1.246070305801657696e+01,9.376042742611881309e+00
1.248070877393540989e+01,9.655624682359816191e+00
1.250071448985424460e+01,1.094581090653048783e+01
1.252072020577307754e+01,1.004482063461914620e+01
1.254072592169191225e+01,1.081758778638820040e+01
1.256073163761074696e+01,1.152675809232971460e+01
1.258073735352957989e+01,1.184047326044699844e+01
1.260074306944841460e+01,1.220962446062580753e+01
1.262074878536724754e+01,1.218177726766013436e+01
1.264075450128608225e+01,1.127916963361915492e+01
1.266076021720491518e+01,1.146196164155534625e+01
1.268076593312374989e+01,1.256380418827705903e+01
1.270077164904258282e+01,1.280999629871872258e+01
1.272077736496141753e+01,1.217649863983458403e+01
1.274078308088025224e+01,1.252743034463040850e+01
1.276078879679908518e+01,1.363645608883467730e+01
1.278079451271791989e+01,1.277929476329016900e+01
1.280080022863675282e+01,1.275311401348475293e+01
1.282080594455558753e+01,1.390666689702781156e+01
1.284081166047442224e+01,1.366072465395246560e+01
1.286081737639325517e+01,1.374108651778373336e+01
1.288082309231208988e+01,1.456435276244253174e+01
1.290082880823092282e+01,1.531362691919871821e+01
1.292083452414975753e+01,1.610271750244646682e+01
1.294084024006859224e+01,1.589329822795743752e+01
1.296084595598742517e+01,1.632324913915445208e+01
1.298085167190625810e+01,1.603663026557860150e+01
1.300085738782509281e+01,1.548565197114671221e+01
1.302086310374392752e+01,1.649635423150838776e+01
1.304086881966276046e+01,1.705373554885909826e+01
1.306087453558159517e+01,1.766835650501286992e+01
1.308088025150042810e+01,1.671137304928197409e+01
1.310088596741926281e+01,1.888907716233357448e+01
1.312089168333809752e+01,1.782151864932268381e+01
1.314089739925693046e+01,1.855787792438071193e+01
1.316090311517576517e+01,1.969598185256493394e+01
1.318090883109459810e+01,1.904234382545286763e+01
1.320091454701343281e+01,1.889574241428892520e+01
1.322092026293226752e+01,2.067419554718227559e+01
1.324092597885110045e+01,2.029901718363644392e+01
1.326093169476993339e+01,2.162203637072802209e+01
1.328093741068876810e+01,2.073373983188094272e+01
1.330094312660760281e+01,2.140843046122038018e+01
1.332094884252643574e+01,2.226857029242995623e+01
1.334095455844527045e+01,2.355402587559852989e+01
1.336096027436410338e+01,2.394434001830746794e+01
1.338096599028293809e+01,2.295743013028560142e+01
1.340097170620177280e+01,2.324162697892594664e+01
1.342097742212060574e+01,2.344904773733750147e+01
1.344098313803944045e+01,2.534911523907340580e+01
1.346098885395827338e+01,2.527650794979446758e+01
1.348099456987710809e+01,2.668174757926485441e+01
1.350100028579594280e+01,2.591367706595537257e+01
1.352100600171477573e+01,2.590150865162105376e+01
1.354101171763361044e+01,2.704101950490178652e+01
1.356101743355244338e+01,2.788038721029861122e+01
1.358102314947127809e+01,2.748337309829207697e+01
1.360102886539011102e+01,2.903369666014922856e+01
1.362103458130894573e+01,2.917233438952186830e+01
1.364104029722777867e+01,2.832159225284345894e+01
1.366104601314661338e+01,2.851797626907403682e+01
1.368105172906544809e+01,2.898909258280271928e+01
1.370105744498428102e+01,2.969513824838776728e+01
1.372106316090311573e+01,2.828951736328158972e+01
1.374106887682194866e+01,2.851750538887790398e+01
1.376107459274078337e+01,2.965419591492821638e+01
1.378108030865961808e+01,2.960119802709709802e+01
1.380108602457845102e+01,2.922217619904784769e+01
1.382109174049728573e+01,2.780945625201498217e+01
1.384109745641611866e+01,2.816698191517757621e+01
1.386110317233495337e+01,2.767654518682038756e+01
1.388110888825378808e+01,2.668526919313227097e+01
1.390111460417262101e+01,2.501075426362534770e+01
1.392112032009145395e+01,2.434407231704253860e+01
1.394112603601028866e+01,2.382137584894865512e+01
1.396113175192912337e+01,2.247262638933203149e+01
1.398113746784795630e+01,2.093281573839134424e+01
1.400114318376679101e+01,2.056720900814294950e+01
1.402114889968562395e+01,1.914966710163305663e+01
1.404115461560445866e+01,1.752709100292011968e+01
1.406116033152329337e+01,1.710699546458005216e+01
1.408116604744212630e+01,1.467470859641465886e+01
1.410117176336095923e+01,1.351007836369125492e+01
1.412117747927979394e+01,1.315352373739885827e+01
1.414118319519862865e+01,1.168279559070225559e+01
1.416118891111746336e+01,1.068654859630353116e+01
1.418119462703629630e+01,9.580751477688366435e+00
1.420120034295512923e+01,9.671686763529100617e+00
1.422120605887396394e+01,8.412824122905291802e+00
1.424121177479279865e+01,8.967138848721646127e+00
1.426121749071163336e+01,7.245076022003282823e+00
1.428122320663046629e+01,7.414634816917297755e+00
1.430122892254929923e+01,6.397935985716193485e+00
1.432123463846813394e+01,7.383267504749895238e+00
1.434124035438696865e+01,5.970483373416759498e+00
1.436124607030580158e+01,7.044787868177307288e+00
1.438125178622463629e+01,6.872540294985030940e+00
1.440125750214346922e+01,6.681835368990761914e+00
1.442126321806230393e+01,5.807716522043612883e+00
1.444126893398113864e+01,5.785432351436295306e+00
1.446127464989997158e+01,5.125239781812330975e+00
1.448128036581880451e+01,5.846190392673575431e+00
1.450128608173763922e+01,5.262033197594240264e+00
1.452129179765647393e+01,6.363119304853581681e+00
1.454129751357530864e+01,5.036409750665566953e+00
1.456130322949414158e+01,5.855479727543423607e+00
1.458130894541297451e+01,4.441628758418503686e+00
1.460131466133180922e+01,5.750477571898387374e+00
1.462132037725064393e+01,5.684784618027303615e+00
1.464132609316947686e+01,5.872307229026763942e+00
1.466133180908831157e+01,6.049729283361413579e+00
1.468133752500714451e+01,5.045535017689719126e+00
1.470134324092597922e+01,5.320907203948098463e+00
1.472134895684481393e+01,4.500775138031199774e+00
1.474135467276364686e+01,5.112677856851982838e+00
1.476136038868247979e+01,4.236245182480691263e+00
1.478136610460131450e+01,4.909526651633477456e+00
1.480137182052014921e+01,4.082148219644863296e+00
1.482137753643898392e+01,4.943028008263136819e+00
1.484138325235781686e+01,4.951967229668820636e+00
1.486138896827664979e+01,4.240109447179142954e+00
1.488139468419548450e+01,5.329590439091468568e+00
1.490140040011431921e+01,5.607826881917887363e+00
1.492140611603315392e+01,3.936772138786142516e+00
1.494141183195198685e+01,5.109890836377588563e+00
1.496141754787081979e+01,4.365682143162781692e+00
1.498142326378965450e+01,4.394989722377458996e+00
1.500142897970848921e+01,4.560338816002523998e+00
1.502143469562732214e+01,4.195890455827179011e+00
1.504144041154615508e+01,5.029743318906500171e+00
1.506144612746498979e+01,5.486691736223965776e+00
1.508145184338382450e+01,5.393583727407458284e+00
1.510145755930265921e+01,5.519452464061865626e+00
1.512146327522149214e+01,5.405070783902896636e+00
1.514146899114032507e+01,5.429618213127237247e+00
1.516147470705915978e+01,4.404765387076438721e+00
1.518148042297799449e+01,4.415583889031333698e+00
1.520148613889682920e+01,5.178695219090037938e+00
1.522149185481566214e+01,3.918829710731092320e+00
1.524149757073449507e+01,5.187724534118167696e+00
1.526150328665332978e+01,4.862654999507989295e+00
1.528150900257216449e+01,5.024510484698100576e+00
1.530151471849099742e+01,3.802146523697743863e+00
1.532152043440983036e+01,5.093099916732953147e+00
1.534152615032866507e+01,4.446279003957781306e+00
1.536153186624749978e+01,4.330897034209710839e+00
1.538153758216633449e+01,3.738385375260083965e+00
1.540154329808516742e+01,4.441300402159331639e+00
1.542154901400400036e+01,4.899293710253343370e+00
1.544155472992283507e+01,4.778839300255650180e+00
1.546156044584166978e+01,5.091636685826414599e+00
1.548156616176050449e+01,3.785720616694747687e+00
1.550157187767933742e+01,5.400545597733373171e+00
1.552157759359817035e+01,4.696307441789125292e+00
1.554158330951700506e+01,5.293539301949265585e+00
1.556158902543583977e+01,5.361749866887974392e+00
1.558159474135467271e+01,5.094690405659828336e+00
1.560160045727350742e+01,4.942255115615341587e+00
1.562160617319234035e+01,4.398697307392452238e+00
1.564161188911117506e+01,5.051466669328778636e+00
1.566161760503000977e+01,4.903771468201151507e+00
1.568162332094884270e+01,4.790569506323678617e+00
1.570162903686767564e+01,3.384879478749192927e+00
1.572163475278651035e+01,4.200576964550529091e+00
1.574164046870534506e+01,4.363705045264720361e+00
1.576164618462417977e+01,4.345789890640529229e+00
1.578165190054301270e+01,4.655415017025493540e+00
1.580165761646184563e+01,3.811604121251843225e+00
1.582166333238068034e+01,3.360162096698078305e+00
1.584166904829951505e+01,4.740481260167724642e+00
1.586167476421834799e+01,5.174561358299716751e+00
1.588168048013718270e+01,5.202106113163505796e+00
1.590168619605601563e+01,4.003678427086503788e+00
1.592169191197485034e+01,3.477647799543558182e+00
1.594169762789368505e+01,4.634591258269728620e+00
1.596170334381251799e+01,4.469927139710145880e+00
1.598170905973135092e+01,4.545688849500425732e+00
1.600171477565018563e+01,3.871866627201919098e+00
1.602172049156902034e+01,3.676154181688575662e+00
1.604172620748785505e+01,4.336874589229734234e+00
1.606173192340668976e+01,5.032244901786085300e+00
1.608173763932552092e+01,4.709942981522846850e+00
1.610174335524435563e+01,4.493759731165267723e+00
1.612174907116319034e+01,3.381009178766096746e+00
1.614175478708202505e+01,4.935240570430766915e+00
1.616176050300085620e+01,3.712694724510185562e+00
1.618176621891969091e+01,3.921449763509620379e+00
1.620177193483852562e+01,3.942450002408763421e+00
1.622177765075736033e+01,3.414932881344427518e+00
1.624178336667619504e+01,3.684506253899272554e+00
1.626178908259502620e+01,3.609998812553651071e+00
1.628179479851386091e+01,3.565308156829350761e+00
1.630180051443269562e+01,5.062851409885948506e+00
1.632180623035153033e+01,3.941566088962134007e+00
1.634181194627036149e+01,3.344505033731423715e+00
1.636181766218919620e+01,4.378384954887442504e+00
1.638182337810803091e+01,4.328870524410058707e+00
1.640182909402686562e+01,3.630869441563644440e+00
1.642183480994570033e+01,4.947626316534603497e+00
1.644184052586453504e+01,4.151138655163878255e+00
1.646184624178336620e+01,3.455392996518451554e+00
1.648185195770220091e+01,3.401003243739425308e+00
1.650185767362103562e+01,4.827847725042039073e+00
1.652186338953986677e+01,3.900600984441863428e+00
1.654186910545870148e+01,4.517608248435727170e+00
1.656187482137753619e+01,4.139882605043561981e+00
1.658188053729637090e+01,5.021627283215750026e+00
1.660188625321520561e+01,3.252640737119188774e+00
1.662189196913404032e+01,3.993366151474254888e+00
1.664189768505287148e+01,4.603982005784358122e+00
