angle,intensity
1.000000000000000000e+01,8.482497174221672598e-01
1.002000571591883471e+01,1.319931537161002977e+00
1.004001143183766764e+01,1.232695904305430412e+00
1.006001714775650235e+01,1.691385212688361950e+00
1.008002286367533529e+01,1.370460358233555498e+00
1.010002857959417000e+01,1.019188205836490391e-01
1.012003429551300293e+01,1.223237975220429430e+00
1.014004001143183764e+01,3.975912474058072021e-01
1.016004572735067235e+01,1.178875991144215929e+00
1.018005144326950528e+01,1.213857555817492440e+00
1.020005715918833999e+01,7.203556063372916762e-01
1.022006287510717293e+01,1.147106952420406056e+00
1.024006859102600764e+01,1.710070865729485856e+00
1.026007430694484057e+01,1.708933054718274835e+00
1.028008002286367528e+01,1.196183997830536860e+00
1.030008573878250999e+01,3.529911522114042577e-01
1.032009145470134293e+01,4.412008604631104669e-01
1.034009717062017764e+01,9.847725374284828082e-01
1.036010288653901057e+01,1.191495815925484036e+00
1.038010860245784528e+01,5.003969566353407838e-01
1.040011431837667999e+01,1.237302566947518834e+00
1.042012003429551292e+01,1.193512579347903113e+00
1.044012575021434763e+01,8.401880892192574724e-01
1.046013146613318057e+01,1.268856559186620769e+00
1.048013718205201528e+01,1.067107639164113442e+00
1.050014289797084821e+01,1.460459235703384540e+00
1.052014861388968292e+01,7.165648223858042121e-01
1.054015432980851585e+01,1.461928110898137234e+00
1.056016004572735056e+01,1.249385109544076222e+00
1.058016576164618527e+01,1.156618802316894179e+00
1.060017147756501821e+01,1.228882794096472386e+00
1.062017719348385292e+01,1.612941965300995317e+00
1.064018290940268585e+01,9.165516814306305937e-01
1.066018862532152056e+01,7.647995403308336382e-01
1.068019434124035527e+01,1.631103929050270462e+00
1.070020005715918820e+01,9.031728659261195613e-01
1.072020577307802292e+01,1.018408223518151745e+00
1.074021148899685585e+01,1.941921680329040889e+00
1.076021720491569056e+01,7.855418360918569043e-01
1.078022292083452349e+01,1.071930419404088841e+00
1.080022863675335820e+01,1.444026735866001721e+00
1.082023435267219291e+01,1.271856766452355458e+00
1.084024006859102585e+01,1.889324705872711840e+00
1.086024578450986056e+01,6.926443151263452780e-01
1.088025150042869349e+01,1.791222396228957958e+00
1.090025721634752820e+01,2.005134537288330243e+00
1.092026293226636113e+01,1.103555289627388358e+00
1.094026864818519584e+01,1.147553713534416264e+00
1.096027436410403055e+01,5.422748903461837022e-01
1.098028008002286349e+01,1.007380664663914072e+00
1.100028579594169820e+01,1.091987926650766161e+00
1.102029151186053113e+01,1.356835509183976551e+00
1.104029722777936584e+01,1.070030986733788714e+00
1.106030294369819877e+01,1.241263577929432760e+00
1.108030865961703348e+01,1.429879943415077737e+00
1.110031437553586819e+01,1.635393083622377564e+00
1.112032009145470113e+01,1.243001567851959699e+00
1.114032580737353584e+01,1.738258701116510263e+00
1.116033152329236877e+01,1.062303840350552697e+00
1.118033723921120348e+01,2.232579271351836425e+00
1.120034295513003642e+01,1.000874751605892232e+00
1.122034867104887113e+01,8.664085336080247224e-01
1.124035438696770584e+01,1.444422014456538061e+00
1.126036010288653877e+01,8.801112469907383939e-01
1.128036581880537348e+01,1.068753953821762970e+00
1.130037153472420641e+01,1.595262308367990656e+00
1.132037725064304112e+01,1.453376970502502807e+00
1.134038296656187583e+01,1.512661439358100823e+00
1.136038868248070877e+01,1.514440375524296334e+00
1.138039439839954348e+01,8.297081909147475676e-01
1.140040011431837641e+01,1.089774650301681191e+00
1.142040583023721112e+01,1.221919296798960497e+00
1.144041154615604405e+01,1.267970726373250479e+00
1.146041726207487876e+01,1.423824104617026798e+00
1.148042297799371170e+01,1.320200779849203254e+00
1.150042869391254641e+01,1.662345900809892640e+00
1.152043440983138112e+01,1.003531533847030977e+00
1.154044012575021405e+01,1.547653641012878056e+00
1.156044584166904876e+01,1.826645497128018825e+00
1.158045155758788169e+01,9.757255002637355012e-01
1.160045727350671640e+01,1.985841925060651381e+00
1.162046298942555111e+01,1.759195935638679931e+00
1.164046870534438405e+01,1.648595182317122987e+00
1.166047442126321876e+01,1.224064112629080103e+00
1.168048013718205169e+01,1.052298308362143775e+00
1.170048585310088640e+01,1.672648480385974468e+00
1.172049156901971934e+01,1.300815346466806632e+00
1.174049728493855405e+01,1.714125962910120649e+00
1.176050300085738698e+01,1.477808453897461849e+00
1.178050871677622169e+01,1.682203493877510558e+00
1.180051443269505640e+01,2.004945328474219135e+00
1.182052014861388933e+01,1.118110623175492702e+00
1.184052586453272404e+01,1.283008052860641790e+00
1.186053158045155698e+01,1.363295562084084755e+00
1.188053729637039169e+01,1.486945727393620631e+00
1.190054301228922640e+01,2.264843363541944044e+00
1.192054872820805933e+01,1.863736064164587702e+00
1.194055444412689404e+01,1.652716248012265243e+00
1.196056016004572697e+01,9.333618157395051629e-01
1.198056587596456168e+01,1.809961563756444569e+00
1.200057159188339639e+01,1.078147607606736225e+00
1.202057730780222933e+01,2.113436640279130696e+00
1.204058302372106226e+01,1.110727940512936662e+00
1.206058873963989697e+01,1.398396657769777729e+00
1.208059445555873168e+01,1.048518854101449849e+00
1.210060017147756461e+01,1.638336644020502053e+00
1.212060588739639932e+01,1.862007027022232641e+00
1.214061160331523226e+01,2.298729476653991632e+00
1.216061731923406697e+01,2.148569561922151205e+00
1.218062303515290168e+01,1.492909696306726541e+00
1.220062875107173461e+01,2.222355586221702595e+00
1.222063446699056932e+01,1.332966558188659834e+00
1.224064018290940226e+01,1.855705698608079102e+00
1.226064589882823697e+01,1.515267891954086288e+00
1.228065161474707168e+01,1.929231708909046716e+00
1.230065733066590461e+01,1.089792458001348718e+00
1.232066304658473754e+01,1.661823143061273544e+00
1.234066876250357225e+01,1.887360434730744885e+00
1.236067447842240696e+01,1.240529750478393645e+00
1.238068019434123990e+01,1.758502867498055622e+00
1.240068591026007461e+01,2.105889639547528613e+00
1.242069162617890754e+01,2.246638811904305921e+00
1.244069734209774225e+01,1.699426414242398042e+00
1.246070305801657696e+01,1.534288744017945794e+00
1.248070877393540989e+01,1.759473586732855477e+00
1.250071448985424460e+01,1.869991970402295589e+00
1.252072020577307754e+01,1.198457520809800059e+00
1.254072592169191225e+01,1.455609040119168807e+00
1.256073163761074696e+01,1.854010641789192615e+00
1.258073735352957989e+01,1.722794950552909654e+00
1.260074306944841460e+01,1.958983530372252702e+00
1.262074878536724754e+01,1.260681904669424203e+00
1.264075450128608225e+01,2.640873074709583879e+00
1.266076021720491518e+01,1.041459610400343294e+00
1.268076593312374989e+01,1.958725374093024385e+00
1.270077164904258282e+01,1.539945953929857003e+00
1.272077736496141753e+01,2.063797446439485039e+00
1.274078308088025224e+01,2.175546055122613787e+00
1.276078879679908518e+01,1.569322495057212885e+00
1.278079451271791989e+01,1.576313246528168399e+00
1.280080022863675282e+01,2.050828669529983106e+00
1.282080594455558753e+01,1.530280605573054231e+00
1.284081166047442224e+01,1.783383327717598998e+00
1.286081737639325517e+01,1.506314787435425462e+00
1.288082309231208988e+01,2.023298772273101953e+00
1.290082880823092282e+01,1.247358584896945066e+00
