angle,intensity
1.000000000000000000e+01,1.050004598815815626e+01
1.002000571591883471e+01,1.571021485134602003e+01
1.004001143183766764e+01,1.594628356732300745e+01
1.006001714775650235e+01,1.603623952633282457e+01
1.008002286367533529e+01,1.535687546519163682e+01
1.010002857959417000e+01,1.590730541994086877e+01
1.012003429551300293e+01,1.589482404399771553e+01
1.014004001143183764e+01,1.662015116859889474e+01
1.016004572735067235e+01,1.634283367130352360e+01
1.018005144326950528e+01,1.582750017629408212e+01
1.020005715918833999e+01,1.566162240545540385e+01
1.022006287510717293e+01,1.662381841787074066e+01
1.024006859102600764e+01,1.632292210710764380e+01
1.026007430694484057e+01,1.649456272676480140e+01
1.028008002286367528e+01,1.628146788363746111e+01
1.030008573878250999e+01,1.693134284995878858e+01
1.032009145470134293e+01,1.650013270012921041e+01
1.034009717062017764e+01,1.641906101347758806e+01
1.036010288653901057e+01,1.733899163931035758e+01
1.038010860245784528e+01,1.686151383608686416e+01
1.040011431837667999e+01,1.710247528646356940e+01
1.042012003429551292e+01,1.764087673617075325e+01
1.044012575021434763e+01,1.752306431378994489e+01
1.046013146613318057e+01,1.781751606567738833e+01
1.048013718205201528e+01,1.838662246692641844e+01
1.050014289797084821e+01,1.892726510581846355e+01
1.052014861388968292e+01,1.863880147837900836e+01
1.054015432980851585e+01,1.939370868506805579e+01
1.056016004572735056e+01,1.901452847595238538e+01
1.058016576164618527e+01,1.891432725008049687e+01
1.060017147756501821e+01,1.929773878057422110e+01
1.062017719348385292e+01,2.041265950873359714e+01
1.064018290940268585e+01,2.021162289148132629e+01
1.066018862532152056e+01,2.052988569605970781e+01
1.068019434124035527e+01,2.032222776048750035e+01
1.070020005715918820e+01,2.018152138907573701e+01
1.072020577307802292e+01,2.071903797581010309e+01
1.074021148899685585e+01,2.107203764721115036e+01
1.076021720491569056e+01,2.150892769119618464e+01
1.078022292083452349e+01,2.060881409305365253e+01
1.080022863675335820e+01,2.061027759004453586e+01
1.082023435267219291e+01,2.081640249115768526e+01
1.084024006859102585e+01,2.018916136576264009e+01
1.086024578450986056e+01,2.056259915914821335e+01
1.088025150042869349e+01,2.025825185210421608e+01
1.090025721634752820e+01,1.910507035454725511e+01
1.092026293226636113e+01,1.876345273736367858e+01
1.094026864818519584e+01,1.789811170773173998e+01
1.096027436410403055e+01,1.833418019773395002e+01
1.098028008002286349e+01,1.690230382966095135e+01
1.100028579594169820e+01,1.631974278567372494e+01
1.102029151186053113e+01,1.578624732554987631e+01
1.104029722777936584e+01,1.418770424933599728e+01
1.106030294369819877e+01,1.311341682577776524e+01
1.108030865961703348e+01,1.310650739895498873e+01
1.110031437553586819e+01,1.198393819277219663e+01
1.112032009145470113e+01,1.164915970589259331e+01
1.114032580737353584e+01,1.085937709197932222e+01
1.116033152329236877e+01,9.214101551097257925e+00
1.118033723921120348e+01,8.850274776576174673e+00
1.120034295513003642e+01,8.701048885914000053e+00
1.122034867104887113e+01,8.009718118918684127e+00
1.124035438696770584e+01,7.108917934767574387e+00
1.126036010288653877e+01,6.414234117425456461e+00
1.128036581880537348e+01,5.954252759770065850e+00
1.130037153472420641e+01,5.354393262562236799e+00
1.132037725064304112e+01,5.100725614850448508e+00
1.134038296656187583e+01,5.065919573008116572e+00
1.136038868248070877e+01,5.461178954774289274e+00
1.138039439839954348e+01,4.797765392601119672e+00
1.140040011431837641e+01,3.894361371917895109e+00
1.142040583023721112e+01,3.666783298331083074e+00
1.144041154615604405e+01,3.848362056574058165e+00
1.146041726207487876e+01,3.801767016392227028e+00
1.148042297799371170e+01,4.134413070125599887e+00
1.150042869391254641e+01,4.550914656781063883e+00
1.152043440983138112e+01,3.757227412231970209e+00
1.154044012575021405e+01,3.726716983298858477e+00
1.156044584166904876e+01,3.663511108168806096e+00
1.158045155758788169e+01,3.949239681835876592e+00
1.160045727350671640e+01,3.709994133890631929e+00
1.162046298942555111e+01,3.099226452519982189e+00
1.164046870534438405e+01,3.475896949488314291e+00
1.166047442126321876e+01,4.010004533036275021e+00
1.168048013718205169e+01,3.253187773451142739e+00
1.170048585310088640e+01,4.026883788485412730e+00
1.172049156901971934e+01,3.870516835122165489e+00
1.174049728493855405e+01,3.858230271405558298e+00
1.176050300085738698e+01,3.902929950158328776e+00
1.178050871677622169e+01,4.063185822395967151e+00
1.180051443269505640e+01,3.799393787367050912e+00
1.182052014861388933e+01,3.875587224098815842e+00
1.184052586453272404e+01,3.870969729001997095e+00
1.186053158045155698e+01,4.217793435255495105e+00
1.188053729637039169e+01,4.373820799758799893e+00
1.190054301228922640e+01,4.994478416245014429e+00
1.192054872820805933e+01,4.036443961916720724e+00
1.194055444412689404e+01,4.844159865268116150e+00
1.196056016004572697e+01,4.287501996043753039e+00
1.198056587596456168e+01,5.061505450239377701e+00
1.200057159188339639e+01,4.430457679926211867e+00
1.202057730780222933e+01,4.021412946535767752e+00
1.204058302372106226e+01,4.598946082926701706e+00
1.206058873963989697e+01,4.384126336657392820e+00
1.208059445555873168e+01,4.639850039708896645e+00
1.210060017147756461e+01,3.597760531460355793e+00
1.212060588739639932e+01,4.351906720131335504e+00
1.214061160331523226e+01,4.188186578913835945e+00
1.216061731923406697e+01,3.835094395973909442e+00
1.218062303515290168e+01,4.689502132639448817e+00
1.220062875107173461e+01,4.650918558280535464e+00
1.222063446699056932e+01,3.089570391934594262e+00
1.224064018290940226e+01,3.065450523995091103e+00
1.226064589882823697e+01,3.170838958476767111e+00
1.228065161474707168e+01,3.286537870557753038e+00
1.230065733066590461e+01,3.516117809911660785e+00
1.232066304658473754e+01,3.312629486333896089e+00
1.234066876250357225e+01,3.412509689014440184e+00
1.236067447842240696e+01,3.134736260708571365e+00
1.238068019434123990e+01,3.597467321487044067e+00
1.240068591026007461e+01,3.303698100191331033e+00
1.242069162617890754e+01,2.937386517896717564e+00
1.244069734209774225e+01,2.380184128323715953e+00
1.246070305801657696e+01,2.552629307563830885e+00
1.248070877393540989e+01,2.873900133552847347e+00
1.250071448985424460e+01,3.138017057173155600e+00
1.252072020577307754e+01,3.124012138898166313e+00
1.254072592169191225e+01,3.581228478360190426e+00
1.256073163761074696e+01,2.587296569538225732e+00
