angle,intensity
1.000000000000000000e+01,3.660831536562762167e+00
1.002000571591883471e+01,3.147298392491030050e+00
1.004001143183766764e+01,3.342386384150930034e+00
1.006001714775650235e+01,2.867240078238888490e+00
1.008002286367533529e+01,3.721926055872415873e+00
1.010002857959417000e+01,4.294840622928332685e+00
1.012003429551300293e+01,2.907207830006706573e+00
1.014004001143183764e+01,3.300408591922676216e+00
1.016004572735067235e+01,3.510830623490522218e+00
1.018005144326950528e+01,3.902542875936268363e+00
1.020005715918833999e+01,4.186236350152385377e+00
1.022006287510717293e+01,4.032778518503923770e+00
1.024006859102600764e+01,4.065967366352721157e+00
1.026007430694484057e+01,3.521775646100675061e+00
1.028008002286367528e+01,3.774415803498841537e+00
1.030008573878250999e+01,3.971267931340546120e+00
1.032009145470134293e+01,3.815045013386156647e+00
1.034009717062017764e+01,4.275775008534743904e+00
1.036010288653901057e+01,3.876649015469929793e+00
1.038010860245784528e+01,3.983227991969538806e+00
1.040011431837667999e+01,3.405833349682592104e+00
1.042012003429551292e+01,3.807522889698433666e+00
1.044012575021434763e+01,3.687044580901143398e+00
1.046013146613318057e+01,4.227564732475646458e+00
1.048013718205201528e+01,3.562990491780524849e+00
1.050014289797084821e+01,3.263210480455301710e+00
1.052014861388968292e+01,4.395839939986087685e+00
1.054015432980851585e+01,4.301204023507354535e+00
1.056016004572735056e+01,3.686303462024753230e+00
1.058016576164618527e+01,4.158432761858493087e+00
1.060017147756501821e+01,3.294889035673113753e+00
1.062017719348385292e+01,3.779205117174267770e+00
1.064018290940268585e+01,4.503698780390196887e+00
1.066018862532152056e+01,3.719207721678990275e+00
1.068019434124035527e+01,4.050093263172246161e+00
1.070020005715918820e+01,4.174474374591228276e+00
1.072020577307802292e+01,3.801983352462532384e+00
1.074021148899685585e+01,3.625092327586066254e+00
1.076021720491569056e+01,4.194713958846032931e+00
1.078022292083452349e+01,4.325420916650315029e+00
1.080022863675335820e+01,3.602078890315959736e+00
1.082023435267219291e+01,4.746155730614460388e+00
1.084024006859102585e+01,4.579844859750192398e+00
1.086024578450986056e+01,4.078602419836872883e+00
1.088025150042869349e+01,4.075653282414175571e+00
1.090025721634752820e+01,3.821659508798884275e+00
1.092026293226636113e+01,3.895458225346619230e+00
1.094026864818519584e+01,4.042659201956229964e+00
1.096027436410403055e+01,4.779988516988186831e+00
1.098028008002286349e+01,3.777290324526009435e+00
1.100028579594169820e+01,4.130869391785491729e+00
1.102029151186053113e+01,4.493460003209036380e+00
1.104029722777936584e+01,4.169362577899956790e+00
1.106030294369819877e+01,4.472403714279548304e+00
1.108030865961703348e+01,4.173547944793631004e+00
1.110031437553586819e+01,4.472095935203377337e+00
1.112032009145470113e+01,4.660871572816802200e+00
1.114032580737353584e+01,4.259034169950885129e+00
1.116033152329236877e+01,4.465097841392164035e+00
1.118033723921120348e+01,4.871711052967341971e+00
1.120034295513003642e+01,4.471832381239579490e+00
1.122034867104887113e+01,4.070915563064344767e+00
1.124035438696770584e+01,4.560837495879017212e+00
1.126036010288653877e+01,4.419645635753000512e+00
